종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
MU US EQUITY,Micron Technology Inc,49,80585678,6.73,MU US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,25,79656029,6.66,SNDK US EQUITY,stock
INTC US EQUITY,Intel Corp,343,66292699,5.54,INTC US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,102,63608279,5.32,ARM US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,174,55878259,4.67,NVDA US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,103,48091009,4.02,MRVL US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,50,41361910,3.46,AMD US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,61,37719362,3.15,DELL US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,92,36075422,3.02,CRDO US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,124,36081892,3.02,SPCX US EQUITY,stock
WDC US EQUITY,Western Digital Corp,35,34575658,2.89,WDC US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,58,34097705,2.85,LRCX US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,22,33880397,2.83,STX US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,59,32940258,2.75,GOOGL US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,35,30991276,2.59,AMAT US EQUITY,stock
AAPL US EQUITY,Apple Inc,65,29124450,2.43,AAPL US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,27992640,2.34,NQU6 INDEX,futures
AAOI US EQUITY,Applied Optoelectronics Inc,94,27217416,2.27,AAOI US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,45,26796586,2.24,AVGO US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,67,26339161,2.2,NBIS US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,42,25379643,2.12,MSFT US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,89,22819385,1.91,COIN US EQUITY,stock
,현금,22609742,22609742,1.89,현금,cash
AMZN US EQUITY,Amazon.com Inc,60,22313029,1.87,AMZN US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,137,20319592,1.7,HOOD US EQUITY,stock
ASML US EQUITY,ASML Holding NV,7,20026613,1.67,ASML US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,133,16760938,1.4,CRCL US EQUITY,stock
GLW US EQUITY,Corning Inc,57,16187966,1.35,GLW US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,32,13369799,1.12,SIMO US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,40,13351055,1.12,QCOM US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,9,13319659,1.11,GEV US EQUITY,stock
MSTR US EQUITY,Strategy Inc,64,12686798,1.06,MSTR US EQUITY,stock
APP US EQUITY,AppLovin Corp,16,12597311,1.05,APP US EQUITY,stock
META US EQUITY,Meta Platforms Inc,14,12559461,1.05,META US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,29,12033091,1.01,BE US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,8,11575711,0.97,LITE US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,17,11342744,0.95,TSM US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,24,11316321,0.95,VRT US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,66,10899391,0.91,RKLB US EQUITY,stock
TSLA US EQUITY,Tesla Inc,16,9943909,0.83,TSLA US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,59,9516867,0.8,CRWV US EQUITY,stock
TER US EQUITY,Teradyne Inc,14,9150833,0.77,TER US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,15,8824720,0.74,ALAB US EQUITY,stock
ORCL US EQUITY,Oracle Corp,29,8444644,0.71,ORCL US EQUITY,stock
