종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,205,61891248,6.45,NVDA US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,81,56862635,5.92,MSFT US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,26,52874761,5.51,SNDK US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,66,48755335,5.08,AMD US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,90,48416618,5.04,GOOGL US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,121,47817359,4.98,AMZN US EQUITY,stock
INTC US EQUITY,Intel Corp,317,45544997,4.74,INTC US EQUITY,stock
MU US EQUITY,Micron Technology Inc,27,34333427,3.58,MU US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,34032444,3.54,NQU6 INDEX,futures
AAOI US EQUITY,Applied Optoelectronics Inc,180,33751248,3.52,AAOI US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,97,31191963,3.25,NBIS US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,87,29485782,3.07,CRDO US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,34,22631287,2.36,DELL US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,37,22039750,2.3,AVGO US EQUITY,stock
WDC US EQUITY,Western Digital Corp,26,20317016,2.12,WDC US EQUITY,stock
SKHY US EQUITY,SK hynix Inc,88,19352459,2.02,SKHY US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,55,18766576,1.95,TSEM US EQUITY,stock
AAPL US EQUITY,Apple Inc,42,18509896,1.93,AAPL US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,15,18063016,1.88,STX US EQUITY,stock
META US EQUITY,Meta Platforms Inc,21,17587931,1.83,META US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,22,17130524,1.78,AMAT US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,128,17050239,1.78,HOOD US EQUITY,stock
,현금,16789312,16789312,1.75,현금,cash
MRVL US EQUITY,Marvell Technology Inc,52,16191835,1.69,MRVL US EQUITY,stock
TER US EQUITY,Teradyne Inc,27,15521522,1.62,TER US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,72,15459471,1.61,COIN US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,12,14520840,1.51,LITE US EQUITY,stock
TSLA US EQUITY,Tesla Inc,30,13989302,1.46,TSLA US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,90,11782039,1.23,CRWV US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,29,11150943,1.16,VRT US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,26,10391100,1.08,ARM US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,20,10303978,1.07,ALAB US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,22,9957653,1.04,LRCX US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,6,9535716,0.99,LLY US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,49,8748096,0.91,SPCX US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,8705375,0.91,GEV US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,14,8319621,0.87,TSM US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,33,7646872,0.8,QCOM US EQUITY,stock
GLW US EQUITY,Corning Inc,33,7516189,0.78,GLW US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,23,7473681,0.78,BE US EQUITY,stock
MSTR US EQUITY,Strategy Inc,52,7233326,0.75,MSTR US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,54,5729225,0.6,RKLB US EQUITY,stock
WMT US EQUITY,Walmart Inc,34,5402701,0.56,WMT US EQUITY,stock
COST US EQUITY,Costco Wholesale Corp,4,5400849,0.56,COST US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,14,5354496,0.56,SIMO US EQUITY,stock
APP US EQUITY,AppLovin Corp,7,4185038,0.44,APP US EQUITY,stock
KLAC US EQUITY,KLA Corp,15,4176277,0.44,KLAC US EQUITY,stock
ASML US EQUITY,ASML Holding NV,1,2438587,0.25,ASML US EQUITY,stock
