종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
MU US EQUITY,Micron Technology Inc,51,88890074,7.16,MU US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,26,87306979,7.03,SNDK US EQUITY,stock
INTC US EQUITY,Intel Corp,332,68372953,5.51,INTC US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,99,66869551,5.39,ARM US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,168,54403529,4.38,NVDA US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,99,47258784,3.81,MRVL US EQUITY,stock
WDC US EQUITY,Western Digital Corp,39,44731264,3.6,WDC US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,25,41123587,3.31,STX US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,67,40062950,3.23,LRCX US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,48,39645009,3.19,AMD US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,89,37184441,3.0,CRDO US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,59,37134688,2.99,DELL US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,120,34121400,2.75,SPCX US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,57,32242740,2.6,GOOGL US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,34,32248934,2.6,AMAT US EQUITY,stock
AAPL US EQUITY,Apple Inc,63,28856606,2.33,AAPL US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,65,28641764,2.31,NBIS US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,28329753,2.28,NQU6 INDEX,futures
AVGO US EQUITY,Broadcom Inc,43,27186532,2.19,AVGO US EQUITY,stock
,현금,25820938,25820938,2.08,현금,cash
MSFT US EQUITY,Microsoft Corp,41,23908649,1.93,MSFT US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,91,22637473,1.82,AAOI US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,132,21941904,1.77,HOOD US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,58,21786390,1.76,AMZN US EQUITY,stock
ASML US EQUITY,ASML Holding NV,7,20761427,1.67,ASML US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,65,16310490,1.31,COIN US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,128,15784129,1.27,CRCL US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,31,15326134,1.24,SIMO US EQUITY,stock
KLAC US EQUITY,KLA Corp,37,14760917,1.19,KLAC US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,28,14154970,1.14,BE US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,39,13553711,1.09,QCOM US EQUITY,stock
GLW US EQUITY,Corning Inc,43,12882457,1.04,GLW US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,24,12285548,0.99,VRT US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,7,11939585,0.96,GEV US EQUITY,stock
APP US EQUITY,AppLovin Corp,16,11551108,0.93,APP US EQUITY,stock
META US EQUITY,Meta Platforms Inc,13,11533432,0.93,META US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,16,11364455,0.92,TSM US EQUITY,stock
MSTR US EQUITY,Strategy Inc,62,10723433,0.86,MSTR US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,64,10548984,0.85,RKLB US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,8,10451600,0.84,LITE US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,57,10333481,0.83,CRWV US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,15,9615548,0.78,ALAB US EQUITY,stock
TER US EQUITY,Teradyne Inc,14,9423162,0.76,TER US EQUITY,stock
TSLA US EQUITY,Tesla Inc,15,9233296,0.74,TSLA US EQUITY,stock
ORCL US EQUITY,Oracle Corp,28,7931104,0.64,ORCL US EQUITY,stock
