종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,240,75500400,7.47,NVDA US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,24,57380304,5.68,SNDK US EQUITY,stock
MU US EQUITY,Micron Technology Inc,36,48193060,4.77,MU US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,61,47783670,4.73,AMD US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,83,41215357,4.08,LRCX US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,234,40024627,3.96,HOOD US EQUITY,stock
INTC US EQUITY,Intel Corp,257,39183863,3.88,INTC US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,35166309,3.48,NQU6 INDEX,futures
AVGO US EQUITY,Broadcom Inc,55,32103066,3.18,AVGO US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,58,31848378,3.15,GOOGL US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,53,31041604,3.07,MSFT US EQUITY,stock
AAPL US EQUITY,Apple Inc,63,30544353,3.02,AAPL US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,35,30022586,2.97,AMAT US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,49,29935642,2.96,DELL US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,88,29538598,2.92,CRDO US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,97,24011155,2.38,COIN US EQUITY,stock
META US EQUITY,Meta Platforms Inc,22,22189449,2.2,META US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,18,22071875,2.18,STX US EQUITY,stock
SKHY US EQUITY,SK hynix Inc,82,21420973,2.12,SKHY US EQUITY,stock
WDC US EQUITY,Western Digital Corp,26,19777907,1.96,WDC US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,50,18872139,1.87,AMZN US EQUITY,stock
TSLA US EQUITY,Tesla Inc,30,17518757,1.73,TSLA US EQUITY,stock
,현금,17043295,17043295,1.69,현금,cash
MRVL US EQUITY,Marvell Technology Inc,53,16183407,1.6,MRVL US EQUITY,stock
ASML US EQUITY,ASML Holding NV,6,16123954,1.6,ASML US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,39,15993338,1.58,ARM US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,94,15180702,1.5,AAOI US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,51,15063084,1.49,NBIS US EQUITY,stock
KLAC US EQUITY,KLA Corp,45,14955741,1.48,KLAC US EQUITY,stock
TER US EQUITY,Teradyne Inc,27,13674810,1.35,TER US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,30,13526562,1.34,VRT US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,27,11727432,1.16,SIMO US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,20,10381156,1.03,ALAB US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,6,10273650,1.02,LLY US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,50,10012685,0.99,SPCX US EQUITY,stock
APP US EQUITY,AppLovin Corp,14,9383100,0.93,APP US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,9373419,0.93,GEV US EQUITY,stock
GLW US EQUITY,Corning Inc,34,8778683,0.87,GLW US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,33,8694892,0.86,QCOM US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,14,8693974,0.86,TSM US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,24,8505075,0.84,BE US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,7,7792825,0.77,LITE US EQUITY,stock
MSTR US EQUITY,Strategy Inc,54,7791907,0.77,MSTR US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,55,6204356,0.61,RKLB US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,50,5708422,0.57,CRWV US EQUITY,stock
ORCL US EQUITY,Oracle Corp,24,4707316,0.47,ORCL US EQUITY,stock
