종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp/DE,54,68172436,8.26,SNDK US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,43,56998552,6.91,LITE US EQUITY,stock
CIEN US EQUITY,Ciena Corp,74,53468022,6.48,CIEN US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,140,38170520,4.63,NVDA US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,65,30690492,3.72,GOOGL US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,121,28724519,3.48,BE US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,127,28203028,3.42,ARM US EQUITY,stock
WDC US EQUITY,Western Digital Corp,52,26047169,3.16,WDC US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,33,24498920,2.97,STX US EQUITY,stock
INTC US EQUITY,Intel Corp,258,23606974,2.86,INTC US EQUITY,stock
MU US EQUITY,Micron Technology Inc,37,23120877,2.8,MU US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,75,22662236,2.75,TSEM US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,90,22551493,2.73,COIN US EQUITY,stock
NQM6 Index,NASDAQ 100 E-MINI INDEX JUN 2026,0,22461209,2.72,NQM6 INDEX,futures
SIMO US EQUITY,Silicon Motion Technology Corp,117,22028467,2.67,SIMO US EQUITY,stock
ASML US EQUITY,ASML Holding NV,9,19328479,2.34,ASML US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,45,19189183,2.33,VRT US EQUITY,stock
GLW US EQUITY,Corning Inc,76,19131366,2.32,GLW US EQUITY,stock
,현금,18710175,18710175,2.27,현금,cash
CRCL US EQUITY,Circle Internet Group Inc,148,18671791,2.26,CRCL US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,47,18029749,2.19,LRCX US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,12,17221075,2.09,GEV US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,30,15784622,1.91,AVGO US EQUITY,stock
META US EQUITY,Meta Platforms Inc,16,14905410,1.81,META US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,27,14629650,1.77,TSM US EQUITY,stock
ASTS US EQUITY,AST SpaceMobile Inc,95,12902123,1.56,ASTS US EQUITY,stock
FTAI US EQUITY,FTAI Aviation Ltd,31,11727434,1.42,FTAI US EQUITY,stock
COHR US EQUITY,Coherent Corp,26,10953332,1.33,COHR US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,50,9880862,1.2,AAOI US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,17,9402296,1.14,MSFT US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,91,9003726,1.09,RKLB US EQUITY,stock
TSLA US EQUITY,Tesla Inc,16,8198106,0.99,TSLA US EQUITY,stock
TER US EQUITY,Teradyne Inc,15,8099119,0.98,TER US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,22,7718013,0.94,AMD US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,21,7274108,0.88,AMZN US EQUITY,stock
IPGP US EQUITY,IPG Photonics Corp,38,7006947,0.85,IPGP US EQUITY,stock
MSTR US EQUITY,Strategy Inc,36,6877258,0.83,MSTR US EQUITY,stock
UUUU US EQUITY,Energy Fuels Inc/Canada,252,6844168,0.83,UUUU US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,11,6487286,0.79,AMAT US EQUITY,stock
BKR US EQUITY,Baker Hughes Co,69,6487390,0.79,BKR US EQUITY,stock
CRWD US EQUITY,Crowdstrike Holdings Inc,11,6436244,0.78,CRWD US EQUITY,stock
AAPL US EQUITY,Apple Inc,15,5792646,0.7,AAPL US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,4,5664276,0.69,LLY US EQUITY,stock
TMUS US EQUITY,T-Mobile US Inc,19,5564207,0.67,TMUS US EQUITY,stock
AEHR US EQUITY,Aehr Test Systems,43,4389652,0.53,AEHR US EQUITY,stock
FORM US EQUITY,FormFactor Inc,9,1615376,0.2,FORM US EQUITY,stock
