종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,228,67007085,7.51,NVDA US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,148,51489450,5.77,BE US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,20,45561137,5.1,SNDK US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,64,43639030,4.89,DELL US EQUITY,stock
SKHY US EQUITY,SK hynix Inc,143,36240914,4.06,SKHY US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,31370506,3.51,NQU6 INDEX,futures
TSLA US EQUITY,Tesla Inc,64,31316185,3.51,TSLA US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,91,30850706,3.46,AMZN US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,45,29824874,3.34,MSFT US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,192,29285922,3.28,HOOD US EQUITY,stock
INTC US EQUITY,Intel Corp,209,28219323,3.16,INTC US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,22,27705889,3.1,LITE US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,108,25042138,2.81,COIN US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,77,23640020,2.65,NBIS US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,74,22604444,2.53,MRVL US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,50,22382317,2.51,GOOGL US EQUITY,stock
SNOW US EQUITY,Snowflake Inc,48,21300967,2.39,SNOW US EQUITY,stock
MU US EQUITY,Micron Technology Inc,16,21047937,2.36,MU US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,140,19462521,2.18,AAOI US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,28,18978266,2.13,AMD US EQUITY,stock
MSTR US EQUITY,Strategy Inc,108,18687121,2.09,MSTR US EQUITY,stock
TER US EQUITY,Teradyne Inc,35,17438355,1.95,TER US EQUITY,stock
PLTR US EQUITY,Palantir Technologies Inc,74,16519092,1.85,PLTR US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,71,14159917,1.59,SPCX US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,117,14033753,1.57,CRWV US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,28,13597950,1.52,AVGO US EQUITY,stock
,현금,13509280,13509280,1.51,현금,cash
VRT US EQUITY,Vertiv Holdings Co,40,13358326,1.5,VRT US EQUITY,stock
AAPL US EQUITY,Apple Inc,30,13185916,1.48,AAPL US EQUITY,stock
META US EQUITY,Meta Platforms Inc,15,13009065,1.46,META US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,11,12766709,1.43,STX US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,45,12601863,1.41,TSEM US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,51,12141202,1.36,QCOM US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,31,11871416,1.33,ALAB US EQUITY,stock
WDC US EQUITY,Western Digital Corp,19,11786948,1.32,WDC US EQUITY,stock
GLW US EQUITY,Corning Inc,45,9879444,1.11,GLW US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,45,9709255,1.09,CRDO US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,25,8552521,0.96,ARM US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,5,7557228,0.85,LLY US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,13,7489112,0.84,TSM US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,7460942,0.84,GEV US EQUITY,stock
PANW US EQUITY,Palo Alto Networks Inc,7,3189015,0.36,PANW US EQUITY,stock
NOW US EQUITY,ServiceNow Inc,18,3177750,0.36,NOW US EQUITY,stock
