종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp,29,75685225,7.22,SNDK US EQUITY,stock
MU US EQUITY,Micron Technology Inc,43,62764445,5.99,MU US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,74,60221837,5.75,AMD US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,177,55659324,5.31,NVDA US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,66,44834436,4.28,DELL US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,84,43163792,4.12,LRCX US EQUITY,stock
INTC US EQUITY,Intel Corp,259,41437739,3.96,INTC US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,35383667,3.38,NQU6 INDEX,futures
STX US EQUITY,Seagate Technology Holdings PLC,26,33904698,3.24,STX US EQUITY,stock
WDC US EQUITY,Western Digital Corp,40,33454448,3.19,WDC US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,89,31208423,2.98,CRDO US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,35,30955252,2.95,AMAT US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,176,29645301,2.83,HOOD US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,87,28732330,2.74,MRVL US EQUITY,stock
SKHY US EQUITY,SK hynix Inc,83,23896780,2.28,SKHY US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,127,23654463,2.26,AAOI US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,38,21953041,2.1,AVGO US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,40,21350579,2.04,GOOGL US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,36,20574200,1.96,MSFT US EQUITY,stock
AAPL US EQUITY,Apple Inc,43,20101323,1.92,AAPL US EQUITY,stock
,현금,19008755,19008755,1.81,현금,cash
AMZN US EQUITY,Amazon.com Inc,51,18739868,1.79,AMZN US EQUITY,stock
TSLA US EQUITY,Tesla Inc,30,17646253,1.68,TSLA US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,40,16698123,1.59,ARM US EQUITY,stock
ASML US EQUITY,ASML Holding NV,6,15817756,1.51,ASML US EQUITY,stock
KLAC US EQUITY,KLA Corp,45,15391365,1.47,KLAC US EQUITY,stock
GLW US EQUITY,Corning Inc,54,15043811,1.44,GLW US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,52,14984601,1.43,NBIS US EQUITY,stock
TER US EQUITY,Teradyne Inc,27,14159895,1.35,TER US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,30,13521756,1.29,VRT US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,56,13427626,1.28,COIN US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,27,12363200,1.18,SIMO US EQUITY,stock
META US EQUITY,Meta Platforms Inc,12,11777353,1.12,META US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,21,11279830,1.08,ALAB US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,51,10303936,0.98,SPCX US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,6,10267056,0.98,LLY US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,9496230,0.91,GEV US EQUITY,stock
APP US EQUITY,AppLovin Corp,14,9332408,0.89,APP US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,34,8990452,0.86,QCOM US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,14,8738142,0.83,TSM US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,24,8673023,0.83,BE US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,7,8468134,0.81,LITE US EQUITY,stock
MSTR US EQUITY,Strategy Inc,54,7823359,0.75,MSTR US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,56,6552515,0.63,RKLB US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,50,5934345,0.57,CRWV US EQUITY,stock
ORCL US EQUITY,Oracle Corp,25,4748812,0.45,ORCL US EQUITY,stock
