종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,206,59128664,6.67,NVDA US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,68,45183052,5.09,MSFT US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,66,44932751,5.07,AMD US EQUITY,stock
INTC US EQUITY,Intel Corp,320,41269747,4.65,INTC US EQUITY,stock
MU US EQUITY,Micron Technology Inc,35,41186890,4.64,MU US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,100,38830508,4.38,AMZN US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,22,38213206,4.31,SNDK US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,74,37680405,4.25,GOOGL US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,32489917,3.66,NQU6 INDEX,futures
AVGO US EQUITY,Broadcom Inc,54,30055997,3.39,AVGO US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,49,28400303,3.2,DELL US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,87,25748024,2.9,CRDO US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,19,23257798,2.62,STX US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,83,22596602,2.55,NBIS US EQUITY,stock
,현금,22297269,22297269,2.51,현금,cash
SKHY US EQUITY,SK hynix Inc,102,20961525,2.36,SKHY US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,164,20297212,2.29,HOOD US EQUITY,stock
WDC US EQUITY,Western Digital Corp,26,20254318,2.28,WDC US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,95,19866642,2.24,COIN US EQUITY,stock
AAPL US EQUITY,Apple Inc,42,18550539,2.09,AAPL US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,127,17127059,1.93,AAOI US EQUITY,stock
META US EQUITY,Meta Platforms Inc,21,16715663,1.88,META US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,22,15969064,1.8,AMAT US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,53,14213184,1.6,MRVL US EQUITY,stock
TER US EQUITY,Teradyne Inc,27,14194525,1.6,TER US EQUITY,stock
TSLA US EQUITY,Tesla Inc,30,13349041,1.51,TSLA US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,30,12568799,1.42,LRCX US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,12,12249496,1.38,LITE US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,30,10361903,1.17,VRT US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,6,9855668,1.11,LLY US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,91,9338123,1.05,CRWV US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,26,8910427,1.0,ARM US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,20,8899933,1.0,ALAB US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,28,8794356,0.99,TSEM US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,8495499,0.96,GEV US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,14,8091953,0.91,TSM US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,50,7747371,0.87,SPCX US EQUITY,stock
MSTR US EQUITY,Strategy Inc,53,7068702,0.8,MSTR US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,24,7062411,0.8,BE US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,33,6964741,0.79,QCOM US EQUITY,stock
GLW US EQUITY,Corning Inc,34,6720774,0.76,GLW US EQUITY,stock
COST US EQUITY,Costco Wholesale Corp,4,5444049,0.61,COST US EQUITY,stock
WMT US EQUITY,Walmart Inc,34,5405787,0.61,WMT US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,55,5107603,0.58,RKLB US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,14,5076361,0.57,SIMO US EQUITY,stock
APP US EQUITY,AppLovin Corp,7,3962404,0.45,APP US EQUITY,stock
KLAC US EQUITY,KLA Corp,15,3920940,0.44,KLAC US EQUITY,stock
ASML US EQUITY,ASML Holding NV,1,2329144,0.26,ASML US EQUITY,stock
