종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,231,69987006,7.69,NVDA US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,23,50250592,5.52,SNDK US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,119,44054845,4.84,AMZN US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,59,39792556,4.37,MSFT US EQUITY,stock
MU US EQUITY,Micron Technology Inc,27,35235335,3.87,MU US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,109,33986542,3.73,NBIS US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,32879564,3.61,NQU6 INDEX,futures
INTC US EQUITY,Intel Corp,247,31920620,3.51,INTC US EQUITY,stock
SKHY US EQUITY,SK hynix Inc,146,31750388,3.49,SKHY US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,61,29283481,3.22,GOOGL US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,171,29097666,3.2,AAOI US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,85,27795878,3.05,CRDO US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,23,26507862,2.91,LITE US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,80,25229455,2.77,TSEM US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,40,24373285,2.68,DELL US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,37,24032850,2.64,AMD US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,156,19741107,2.17,CRWV US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,66,18991693,2.09,BE US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,51,16851532,1.85,MRVL US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,126,16804532,1.85,HOOD US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,71,15839710,1.74,COIN US EQUITY,stock
GLW US EQUITY,Corning Inc,72,15286737,1.68,GLW US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,40,14538744,1.6,VRT US EQUITY,stock
TSLA US EQUITY,Tesla Inc,29,14180121,1.56,TSLA US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,28,14134110,1.55,AVGO US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,72,14002314,1.54,SPCX US EQUITY,stock
TER US EQUITY,Teradyne Inc,26,13746215,1.51,TER US EQUITY,stock
,현금,13533432,13533432,1.49,현금,cash
AAPL US EQUITY,Apple Inc,30,13236523,1.45,AAPL US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,11,12753653,1.4,STX US EQUITY,stock
WDC US EQUITY,Western Digital Corp,19,12226624,1.34,WDC US EQUITY,stock
META US EQUITY,Meta Platforms Inc,15,11406020,1.25,META US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,15,10364495,1.14,AMAT US EQUITY,stock
WMT US EQUITY,Walmart Inc,62,9868799,1.08,WMT US EQUITY,stock
PLTR US EQUITY,Palantir Technologies Inc,40,9758783,1.07,PLTR US EQUITY,stock
COST US EQUITY,Costco Wholesale Corp,7,9328929,1.02,COST US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,26,9028002,0.99,ARM US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,5,8915007,0.98,LLY US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,8250820,0.91,GEV US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,20,8049785,0.88,ALAB US EQUITY,stock
MSTR US EQUITY,Strategy Inc,52,7549284,0.83,MSTR US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,13,7460394,0.82,TSM US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,32,7215227,0.79,QCOM US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,53,5597583,0.62,RKLB US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,14,4733725,0.52,SIMO US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,11,4705414,0.52,LRCX US EQUITY,stock
KLAC US EQUITY,KLA Corp,15,3911883,0.43,KLAC US EQUITY,stock
ASML US EQUITY,ASML Holding NV,1,2439459,0.27,ASML US EQUITY,stock
