종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp/DE,40,81853449,8.18,SNDK US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,140,60146558,6.01,BE US EQUITY,stock
INTC US EQUITY,Intel Corp,376,59170768,5.91,INTC US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,185,56218370,5.62,ARM US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,99,55955244,5.59,GOOGL US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,32,46309896,4.63,LITE US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,101,40202303,4.02,AMZN US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,122,34883112,3.49,NVDA US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,202,33563889,3.36,CRCL US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,115,33090792,3.31,COIN US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,28,31413106,3.14,STX US EQUITY,stock
WDC US EQUITY,Western Digital Corp,44,29787992,2.98,WDC US EQUITY,stock
MU US EQUITY,Micron Technology Inc,30,27946650,2.79,MU US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,48,24813063,2.48,AMD US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,37,23008506,2.3,AVGO US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,205,22977702,2.3,HOOD US EQUITY,stock
MSTR US EQUITY,Strategy Inc,83,22572529,2.26,MSTR US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,89,21853783,2.18,MRVL US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,65,21330965,2.13,TSEM US EQUITY,stock
,현금,20783354,20783354,2.08,현금,cash
AAOI US EQUITY,Applied Optoelectronics Inc,77,20231550,2.02,AAOI US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,40,19848728,1.98,VRT US EQUITY,stock
CIEN US EQUITY,Ciena Corp,25,19816643,1.98,CIEN US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,12,19123680,1.91,GEV US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,62,17463149,1.75,CRDO US EQUITY,stock
NQM6 Index,NASDAQ 100 E-MINI INDEX JUN 2026,0,16376277,1.64,NQM6 INDEX,futures
TSLA US EQUITY,Tesla Inc,28,15864024,1.59,TSLA US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,41,14223326,1.42,SIMO US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,21,12052025,1.21,TSM US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,46,11775134,1.18,NBIS US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,16,9577584,0.96,MSFT US EQUITY,stock
AAPL US EQUITY,Apple Inc,23,9510737,0.95,AAPL US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,76,8709879,0.87,RKLB US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,21,8427648,0.84,LRCX US EQUITY,stock
ASML US EQUITY,ASML Holding NV,4,8398371,0.84,ASML US EQUITY,stock
GLW US EQUITY,Corning Inc,34,8019638,0.8,GLW US EQUITY,stock
COHR US EQUITY,Coherent Corp,14,6839290,0.68,COHR US EQUITY,stock
FTAI US EQUITY,FTAI Aviation Ltd,17,6044907,0.6,FTAI US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,4,5755618,0.58,LLY US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,9,5380057,0.54,AMAT US EQUITY,stock
META US EQUITY,Meta Platforms Inc,6,5281663,0.53,META US EQUITY,stock
VICR US EQUITY,Vicor Corp,10,3870638,0.39,VICR US EQUITY,stock
