종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
MU US EQUITY,Micron Technology Inc,51,69543361,6.57,MU US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,213,65267915,6.17,NVDA US EQUITY,stock
INTC US EQUITY,Intel Corp,351,57442363,5.43,INTC US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,22,55271355,5.22,SNDK US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,105,49353121,4.66,ARM US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,81,44134419,4.17,GOOGL US EQUITY,stock
AAPL US EQUITY,Apple Inc,91,40567496,3.83,AAPL US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,105,40549409,3.83,MRVL US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,62,37666469,3.56,MSFT US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,51,35275392,3.33,AMD US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,62,35056851,3.31,DELL US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,94,34158561,3.23,CRDO US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,60,29520001,2.79,LRCX US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,36,27355629,2.59,AMAT US EQUITY,stock
NQM6 Index,NASDAQ 100 E-MINI INDEX JUN 2026,0,26193726,2.48,NQM6 INDEX,futures
AVGO US EQUITY,Broadcom Inc,46,26169569,2.47,AVGO US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,96,25704600,2.43,AAOI US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,18,22456207,2.12,STX US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,61,22196570,2.1,AMZN US EQUITY,stock
WDC US EQUITY,Western Digital Corp,29,21729659,2.05,WDC US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,91,21421830,2.02,COIN US EQUITY,stock
TSLA US EQUITY,Tesla Inc,34,19836040,1.87,TSLA US EQUITY,stock
,현금,18812410,18812410,1.78,현금,cash
ASML US EQUITY,ASML Holding NV,7,18559821,1.75,ASML US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,140,18485012,1.75,HOOD US EQUITY,stock
META US EQUITY,Meta Platforms Inc,21,18332397,1.73,META US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,52,16829947,1.59,NBIS US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,136,16411946,1.55,CRCL US EQUITY,stock
ORCL US EQUITY,Oracle Corp,50,15385320,1.45,ORCL US EQUITY,stock
GLW US EQUITY,Corning Inc,58,14912676,1.41,GLW US EQUITY,stock
APP US EQUITY,AppLovin Corp,17,12813191,1.21,APP US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,33,12698187,1.2,SIMO US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,41,11985352,1.13,QCOM US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,9,11931245,1.13,GEV US EQUITY,stock
MSTR US EQUITY,Strategy Inc,65,11463309,1.08,MSTR US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,67,10760933,1.02,RKLB US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,25,10739758,1.02,VRT US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,17,10623943,1.0,TSM US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,8,10436393,0.99,LITE US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,29,10385313,0.98,BE US EQUITY,stock
