종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp,26,77795356,6.9,SNDK US EQUITY,stock
MU US EQUITY,Micron Technology Inc,50,74165543,6.58,MU US EQUITY,stock
INTC US EQUITY,Intel Corp,344,64753778,5.74,INTC US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,103,59270525,5.25,ARM US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,174,53950893,4.78,NVDA US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,103,43533431,3.86,MRVL US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,50,38651671,3.43,AMD US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,61,36462495,3.23,DELL US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,92,34867907,3.09,CRDO US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,58,32148622,2.85,LRCX US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,59,32067234,2.84,GOOGL US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,126,30644654,2.72,SPCX US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,35,30001001,2.66,AMAT US EQUITY,stock
AAPL US EQUITY,Apple Inc,65,28595225,2.54,AAPL US EQUITY,stock
,현금,27309948,27309948,2.42,현금,cash
NQM6 INDEX,NASDAQ 100 E-MINI INDEX JUN 2026,0,26893348,2.38,NQM6 INDEX,futures
AVGO US EQUITY,Broadcom Inc,45,25980568,2.3,AVGO US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,18,25324101,2.25,STX US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,42,24798782,2.2,MSFT US EQUITY,stock
WDC US EQUITY,Western Digital Corp,29,24668443,2.19,WDC US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,94,24012436,2.13,AAOI US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,67,23524986,2.09,NBIS US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,90,21729920,1.93,COIN US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,60,21628374,1.92,AMZN US EQUITY,stock
ASML US EQUITY,ASML Holding NV,7,19712072,1.75,ASML US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,138,19433078,1.72,HOOD US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,133,15643995,1.39,CRCL US EQUITY,stock
GLW US EQUITY,Corning Inc,57,15434979,1.37,GLW US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,32,13563150,1.2,SIMO US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,9,12792881,1.13,GEV US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,40,12797203,1.13,QCOM US EQUITY,stock
APP US EQUITY,AppLovin Corp,17,12761375,1.13,APP US EQUITY,stock
META US EQUITY,Meta Platforms Inc,14,11994688,1.06,META US EQUITY,stock
MSTR US EQUITY,Strategy Inc,64,11989188,1.06,MSTR US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,29,11403334,1.01,BE US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,8,11140554,0.99,LITE US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,24,10984004,0.97,VRT US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,17,10890210,0.97,TSM US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,66,10211620,0.91,RKLB US EQUITY,stock
TSLA US EQUITY,Tesla Inc,16,9826501,0.87,TSLA US EQUITY,stock
TER US EQUITY,Teradyne Inc,15,9139132,0.81,TER US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,60,9116466,0.81,CRWV US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,15,8322005,0.74,ALAB US EQUITY,stock
ORCL US EQUITY,Oracle Corp,29,8068926,0.72,ORCL US EQUITY,stock
