종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
MU US EQUITY,Micron Technology Inc,51,77189684,6.91,MU US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,22,62909415,5.63,SNDK US EQUITY,stock
INTC US EQUITY,Intel Corp,351,62392288,5.59,INTC US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,177,55110972,4.93,NVDA US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,105,54612721,4.89,ARM US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,105,44795421,4.01,MRVL US EQUITY,stock
,현금,43726049,43726049,3.91,현금,cash
AMD US EQUITY,Advanced Micro Devices Inc,51,37859661,3.39,AMD US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,94,37823931,3.39,CRDO US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,62,36885394,3.3,DELL US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,60,33057473,2.96,LRCX US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,60,32624330,2.92,GOOGL US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,36,30236481,2.71,AMAT US EQUITY,stock
AAPL US EQUITY,Apple Inc,66,29653699,2.65,AAPL US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,46,26955507,2.41,AVGO US EQUITY,stock
NQM6 INDEX,NASDAQ 100 E-MINI INDEX JUN 2026,0,26868316,2.41,NQM6 INDEX,futures
MSFT US EQUITY,Microsoft Corp,43,25509265,2.28,MSFT US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,96,25208740,2.26,AAOI US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,18,23747817,2.13,STX US EQUITY,stock
WDC US EQUITY,Western Digital Corp,29,23328033,2.09,WDC US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,68,22967703,2.06,NBIS US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,61,22389860,2.0,AMZN US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,91,22187757,1.99,COIN US EQUITY,stock
ASML US EQUITY,ASML Holding NV,7,20207807,1.81,ASML US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,140,19623961,1.76,HOOD US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,136,17079026,1.53,CRCL US EQUITY,stock
GLW US EQUITY,Corning Inc,58,15562600,1.39,GLW US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,33,13759083,1.23,SIMO US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,41,12646802,1.13,QCOM US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,9,12403254,1.11,GEV US EQUITY,stock
APP US EQUITY,AppLovin Corp,17,12364621,1.11,APP US EQUITY,stock
META US EQUITY,Meta Platforms Inc,14,12094598,1.08,META US EQUITY,stock
MSTR US EQUITY,Strategy Inc,65,11869258,1.06,MSTR US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,67,11687657,1.05,RKLB US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,25,11317950,1.01,VRT US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,55,11284515,1.01,SPCX US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,29,10969186,0.98,BE US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,17,10879017,0.97,TSM US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,8,10815991,0.97,LITE US EQUITY,stock
TSLA US EQUITY,Tesla Inc,16,9706050,0.87,TSLA US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,16,8935694,0.8,ALAB US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,61,8875844,0.79,CRWV US EQUITY,stock
TER US EQUITY,Teradyne Inc,15,8694775,0.78,TER US EQUITY,stock
ORCL US EQUITY,Oracle Corp,30,8393855,0.75,ORCL US EQUITY,stock
