종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp/DE,54,62514949,7.68,SNDK US EQUITY,stock
CIEN US EQUITY,Ciena Corp,74,54195367,6.65,CIEN US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,40,53133986,6.52,LITE US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,139,37520770,4.61,NVDA US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,122,31667652,3.89,COIN US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,64,30107321,3.7,GOOGL US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,126,27815643,3.42,ARM US EQUITY,stock
WDC US EQUITY,Western Digital Corp,52,26116550,3.21,WDC US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,120,26112162,3.21,BE US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,33,24280236,2.98,STX US EQUITY,stock
INTC US EQUITY,Intel Corp,257,22460097,2.76,INTC US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,74,22344714,2.74,TSEM US EQUITY,stock
MU US EQUITY,Micron Technology Inc,37,22310157,2.74,MU US EQUITY,stock
NQM6 Index,NASDAQ 100 E-MINI INDEX JUN 2026,0,22303545,2.74,NQM6 INDEX,futures
SIMO US EQUITY,Silicon Motion Technology Corp,116,20937347,2.57,SIMO US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,146,20441065,2.51,CRCL US EQUITY,stock
ASML US EQUITY,ASML Holding NV,9,18960359,2.33,ASML US EQUITY,stock
,현금,18900538,18900538,2.32,현금,cash
VRT US EQUITY,Vertiv Holdings Co,45,18748213,2.3,VRT US EQUITY,stock
GLW US EQUITY,Corning Inc,75,18357056,2.25,GLW US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,47,17174806,2.11,LRCX US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,12,16652685,2.05,GEV US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,29,15074460,1.85,AVGO US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,27,14646062,1.8,TSM US EQUITY,stock
META US EQUITY,Meta Platforms Inc,16,14526602,1.78,META US EQUITY,stock
ASTS US EQUITY,AST SpaceMobile Inc,94,13442183,1.65,ASTS US EQUITY,stock
FTAI US EQUITY,FTAI Aviation Ltd,31,11931945,1.47,FTAI US EQUITY,stock
COHR US EQUITY,Coherent Corp,26,10861595,1.33,COHR US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,50,9836387,1.21,AAOI US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,17,9434051,1.16,MSFT US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,90,9216999,1.13,RKLB US EQUITY,stock
TSLA US EQUITY,Tesla Inc,16,8141890,1.0,TSLA US EQUITY,stock
TER US EQUITY,Teradyne Inc,15,7967473,0.98,TER US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,22,7560809,0.93,AMD US EQUITY,stock
CRWD US EQUITY,Crowdstrike Holdings Inc,11,6955311,0.85,CRWD US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,21,6888065,0.85,AMZN US EQUITY,stock
MSTR US EQUITY,Strategy Inc,36,6847371,0.84,MSTR US EQUITY,stock
UUUU US EQUITY,Energy Fuels Inc/Canada,250,6812087,0.84,UUUU US EQUITY,stock
IPGP US EQUITY,IPG Photonics Corp,37,6598207,0.81,IPGP US EQUITY,stock
BKR US EQUITY,Baker Hughes Co,68,6367159,0.78,BKR US EQUITY,stock
AAPL US EQUITY,Apple Inc,15,5757288,0.71,AAPL US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,10,5718299,0.7,AMAT US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,4,5653069,0.69,LLY US EQUITY,stock
TMUS US EQUITY,T-Mobile US Inc,19,5566743,0.68,TMUS US EQUITY,stock
AEHR US EQUITY,Aehr Test Systems,43,4026292,0.49,AEHR US EQUITY,stock
FORM US EQUITY,FormFactor Inc,9,1571746,0.19,FORM US EQUITY,stock
