종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp,24,75881469,6.48,SNDK US EQUITY,stock
INTC US EQUITY,Intel Corp,306,60471021,5.16,INTC US EQUITY,stock
MU US EQUITY,Micron Technology Inc,35,56210742,4.8,MU US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,89,54176285,4.63,LRCX US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,80,52928316,4.52,DELL US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,172,52871933,4.52,NVDA US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,58,48807064,4.17,AMD US EQUITY,stock
WDC US EQUITY,Western Digital Corp,42,39099649,3.34,WDC US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,92,38939495,3.33,MRVL US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,94,37890668,3.24,CRDO US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,37,37469373,3.2,AMAT US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,37456507,3.2,NQU6 INDEX,futures
STX US EQUITY,Seagate Technology Holdings PLC,23,32748609,2.8,STX US EQUITY,stock
,현금,30208717,30208717,2.58,현금,cash
GOOGL US EQUITY,Alphabet Inc,53,29784437,2.54,GOOGL US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,134,28978330,2.48,AAOI US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,55,28876970,2.47,ARM US EQUITY,stock
AAPL US EQUITY,Apple Inc,58,26563791,2.27,AAPL US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,74,26385310,2.25,NBIS US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,40,22984766,1.96,AVGO US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,38,22718787,1.94,MSFT US EQUITY,stock
TSLA US EQUITY,Tesla Inc,32,21173815,1.81,TSLA US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,122,20622595,1.76,HOOD US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,54,20305990,1.73,AMZN US EQUITY,stock
KLAC US EQUITY,KLA Corp,48,19878643,1.7,KLAC US EQUITY,stock
GLW US EQUITY,Corning Inc,57,19565600,1.67,GLW US EQUITY,stock
TER US EQUITY,Teradyne Inc,29,19280811,1.65,TER US EQUITY,stock
ASML US EQUITY,ASML Holding NV,6,17204409,1.47,ASML US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,32,15504231,1.32,VRT US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,60,14864735,1.27,COIN US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,22,14747303,1.26,ALAB US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,28,13808409,1.18,SIMO US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,54,13235439,1.13,SPCX US EQUITY,stock
APP US EQUITY,AppLovin Corp,15,13176303,1.13,APP US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,7,12353752,1.06,GEV US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,26,11710506,1.0,BE US EQUITY,stock
META US EQUITY,Meta Platforms Inc,12,11442784,0.98,META US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,6,11124654,0.95,LLY US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,15,10366995,0.89,TSM US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,36,10189120,0.87,QCOM US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,59,9185645,0.78,RKLB US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,7,8725113,0.75,LITE US EQUITY,stock
MSTR US EQUITY,Strategy Inc,57,8281881,0.71,MSTR US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,53,7065362,0.6,CRWV US EQUITY,stock
ORCL US EQUITY,Oracle Corp,26,5764239,0.49,ORCL US EQUITY,stock
