종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp/DE,40,82004436,7.98,SNDK US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,183,63141258,6.15,ARM US EQUITY,stock
INTC US EQUITY,Intel Corp,371,60961436,5.94,INTC US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,188,56810746,5.53,NVDA US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,97,56138765,5.47,GOOGL US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,113,46903291,4.57,BE US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,32,43935459,4.28,LITE US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,196,34711051,3.38,CRCL US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,112,32237390,3.14,COIN US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,28,32016731,3.12,STX US EQUITY,stock
WDC US EQUITY,Western Digital Corp,44,30910004,3.01,WDC US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,74,29587824,2.88,AMZN US EQUITY,stock
GLW US EQUITY,Corning Inc,112,29568311,2.88,GLW US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,46,28184248,2.74,AMD US EQUITY,stock
MU US EQUITY,Micron Technology Inc,29,28107433,2.74,MU US EQUITY,stock
,현금,23536578,23536578,2.29,현금,cash
AVGO US EQUITY,Broadcom Inc,37,22887821,2.23,AVGO US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,197,22642923,2.21,HOOD US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,88,22026936,2.15,MRVL US EQUITY,stock
MSTR US EQUITY,Strategy Inc,80,21730902,2.12,MSTR US EQUITY,stock
CIEN US EQUITY,Ciena Corp,25,20966316,2.04,CIEN US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,39,20352917,1.98,VRT US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,78,20248578,1.97,AAOI US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,12,19523614,1.9,GEV US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,61,17587133,1.71,CRDO US EQUITY,stock
NQM6 Index,NASDAQ 100 E-MINI INDEX JUN 2026,0,16701661,1.63,NQM6 INDEX,futures
TSLA US EQUITY,Tesla Inc,27,15653342,1.52,TSLA US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,40,14246292,1.39,SIMO US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,41,12928488,1.26,TSEM US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,21,12809013,1.25,TSM US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,45,12764738,1.24,NBIS US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,16,9630365,0.94,MSFT US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,75,9231082,0.9,RKLB US EQUITY,stock
AAPL US EQUITY,Apple Inc,22,9196869,0.9,AAPL US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,21,9073788,0.88,LRCX US EQUITY,stock
ASML US EQUITY,ASML Holding NV,4,8984207,0.88,ASML US EQUITY,stock
FTAI US EQUITY,FTAI Aviation Ltd,17,7058472,0.69,FTAI US EQUITY,stock
COHR US EQUITY,Coherent Corp,14,7016102,0.68,COHR US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,9,5608921,0.55,AMAT US EQUITY,stock
META US EQUITY,Meta Platforms Inc,6,5346765,0.52,META US EQUITY,stock
VICR US EQUITY,Vicor Corp,10,4076143,0.4,VICR US EQUITY,stock
