종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp/DE,40,86575240,8.11,SNDK US EQUITY,stock
INTC US EQUITY,Intel Corp,435,78204850,7.33,INTC US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,176,57920661,5.43,NVDA US EQUITY,stock
MU US EQUITY,Micron Technology Inc,46,52562550,4.92,MU US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,84,48500248,4.54,GOOGL US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,142,44009428,4.12,ARM US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,52,34747495,3.26,AMD US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,83,34726910,3.25,BE US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,186,34282160,3.21,CRCL US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,106,32807867,3.07,COIN US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,26,31345335,2.94,STX US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,21,31063761,2.91,LITE US EQUITY,stock
WDC US EQUITY,Western Digital Corp,42,30597665,2.87,WDC US EQUITY,stock
GLW US EQUITY,Corning Inc,103,30436144,2.85,GLW US EQUITY,stock
TSLA US EQUITY,Tesla Inc,45,29074525,2.72,TSLA US EQUITY,stock
,현금,27561881,27561881,2.58,현금,cash
AAOI US EQUITY,Applied Optoelectronics Inc,94,26381115,2.47,AAOI US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,147,25759535,2.41,RKLB US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,59,23377646,2.19,AMZN US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,35,21875300,2.05,AVGO US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,187,21817151,2.04,HOOD US EQUITY,stock
MSTR US EQUITY,Strategy Inc,76,20892130,1.96,MSTR US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,84,20597110,1.93,MRVL US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,37,20248027,1.9,VRT US EQUITY,stock
CIEN US EQUITY,Ciena Corp,23,19786895,1.85,CIEN US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,11,17576827,1.65,GEV US EQUITY,stock
NQM6 Index,NASDAQ 100 E-MINI INDEX JUN 2026,0,17392320,1.63,NQM6 INDEX,futures
CRDO US EQUITY,Credo Technology Group Holding Ltd,58,17167329,1.61,CRDO US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,45,16027378,1.5,DELL US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,38,14654058,1.37,SIMO US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,40,13166767,1.23,TSEM US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,20,11843711,1.11,TSM US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,43,11480198,1.08,NBIS US EQUITY,stock
AAPL US EQUITY,Apple Inc,21,9228006,0.86,AAPL US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,15,9117329,0.85,MSFT US EQUITY,stock
ASML US EQUITY,ASML Holding NV,4,9068452,0.85,ASML US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,20,8622822,0.81,LRCX US EQUITY,stock
COHR US EQUITY,Coherent Corp,13,7247490,0.68,COHR US EQUITY,stock
FTAI US EQUITY,FTAI Aviation Ltd,16,6349002,0.6,FTAI US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,8,5141973,0.48,AMAT US EQUITY,stock
META US EQUITY,Meta Platforms Inc,5,4494159,0.42,META US EQUITY,stock
VICR US EQUITY,Vicor Corp,9,3924406,0.37,VICR US EQUITY,stock
