종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,230,68270653,7.52,NVDA US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,20,44128419,4.86,SNDK US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,106,37898191,4.17,AMZN US EQUITY,stock
MU US EQUITY,Micron Technology Inc,27,36084870,3.97,MU US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,52,34737610,3.83,MSFT US EQUITY,stock
SKHY US EQUITY,SK hynix Inc,145,32755207,3.61,SKHY US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,32500500,3.58,NQU6 INDEX,futures
AAOI US EQUITY,Applied Optoelectronics Inc,170,29333698,3.23,AAOI US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,194,28998908,3.19,HOOD US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,93,28172054,3.1,NBIS US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,109,28100611,3.09,COIN US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,85,27092897,2.98,CRDO US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,22,26359077,2.9,LITE US EQUITY,stock
INTC US EQUITY,Intel Corp,211,26272194,2.89,INTC US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,80,24616673,2.71,TSEM US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,40,24445255,2.69,DELL US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,51,24310637,2.68,GOOGL US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,37,24206169,2.67,AMD US EQUITY,stock
,현금,20890161,20890161,2.3,현금,cash
BE US EQUITY,Bloom Energy Corp,66,18379975,2.02,BE US EQUITY,stock
MSTR US EQUITY,Strategy Inc,110,18133632,2.0,MSTR US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,51,16711888,1.84,MRVL US EQUITY,stock
GLW US EQUITY,Corning Inc,72,14913994,1.64,GLW US EQUITY,stock
TSLA US EQUITY,Tesla Inc,29,14546912,1.6,TSLA US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,40,14484787,1.6,VRT US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,118,14330373,1.58,CRWV US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,28,14261667,1.57,AVGO US EQUITY,stock
TER US EQUITY,Teradyne Inc,26,13504997,1.49,TER US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,71,13443660,1.48,SPCX US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,11,12925440,1.42,STX US EQUITY,stock
AAPL US EQUITY,Apple Inc,30,12829363,1.41,AAPL US EQUITY,stock
WDC US EQUITY,Western Digital Corp,19,12067467,1.33,WDC US EQUITY,stock
META US EQUITY,Meta Platforms Inc,15,11402726,1.26,META US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,15,10208747,1.12,AMAT US EQUITY,stock
PLTR US EQUITY,Palantir Technologies Inc,40,9949962,1.1,PLTR US EQUITY,stock
COST US EQUITY,Costco Wholesale Corp,7,9171090,1.01,COST US EQUITY,stock
WMT US EQUITY,Walmart Inc,62,8888002,0.98,WMT US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,5,8677324,0.96,LLY US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,25,8409139,0.93,ARM US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,7936496,0.87,GEV US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,20,7878850,0.87,ALAB US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,13,7529034,0.83,TSM US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,32,7111065,0.78,QCOM US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,53,5317000,0.59,RKLB US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,14,5000196,0.55,SIMO US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,11,4774809,0.53,LRCX US EQUITY,stock
KLAC US EQUITY,KLA Corp,15,3815216,0.42,KLAC US EQUITY,stock
ASML US EQUITY,ASML Holding NV,1,2438221,0.27,ASML US EQUITY,stock
