종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp/DE,57,51877023,7.02,SNDK US EQUITY,stock
CIEN US EQUITY,Ciena Corp,71,41566105,5.63,CIEN US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,39,40533882,5.49,LITE US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,145,37465685,5.07,NVDA US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,128,33486474,4.53,COIN US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,67,28399972,3.85,GOOGL US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,125,25183541,3.41,BE US EQUITY,stock
ASML US EQUITY,ASML Holding NV,12,24072990,3.26,ASML US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,100,23357772,3.16,ARM US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,153,22686779,3.07,CRCL US EQUITY,stock
NQM6 Index,NASDAQ 100 E-MINI INDEX JUN 2026,0,21541886,2.92,NQM6 INDEX,futures
,현금,21384655,21384655,2.9,현금,cash
MU US EQUITY,Micron Technology Inc,39,20917790,2.83,MU US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,78,20558822,2.78,TSEM US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,122,20475863,2.77,SIMO US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,61,19478118,2.64,LRCX US EQUITY,stock
AXTI US EQUITY,AXT Inc,215,18981433,2.57,AXTI US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,47,17899778,2.42,VRT US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,13,17126859,2.32,GEV US EQUITY,stock
GLW US EQUITY,Corning Inc,78,15926379,2.16,GLW US EQUITY,stock
INTC US EQUITY,Intel Corp,231,15371315,2.08,INTC US EQUITY,stock
WDC US EQUITY,Western Digital Corp,37,15260939,2.07,WDC US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,28,13777886,1.87,TSM US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,23,13145793,1.78,STX US EQUITY,stock
ASTS US EQUITY,AST SpaceMobile Inc,99,13124623,1.78,ASTS US EQUITY,stock
FTAI US EQUITY,FTAI Aviation Ltd,33,11947998,1.62,FTAI US EQUITY,stock
COHR US EQUITY,Coherent Corp,27,9911707,1.34,COHR US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,95,9452202,1.28,RKLB US EQUITY,stock
TSLA US EQUITY,Tesla Inc,16,8983628,1.22,TSLA US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,52,7643845,1.04,AAOI US EQUITY,stock
META US EQUITY,Meta Platforms Inc,9,7435647,1.01,META US EQUITY,stock
MSTR US EQUITY,Strategy Inc,37,7421388,1.01,MSTR US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,23,7071776,0.96,AMD US EQUITY,stock
IPGP US EQUITY,IPG Photonics Corp,39,6985150,0.95,IPGP US EQUITY,stock
UUUU US EQUITY,Energy Fuels Inc/Canada,262,6981559,0.95,UUUU US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,22,6889456,0.93,AMZN US EQUITY,stock
BKR US EQUITY,Baker Hughes Co,72,6774840,0.92,BKR US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,5,6767416,0.92,LLY US EQUITY,stock
FANG US EQUITY,Diamondback Energy Inc,22,6711858,0.91,FANG US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,14,6536268,0.89,AVGO US EQUITY,stock
CRWD US EQUITY,Crowdstrike Holdings Inc,11,6516667,0.88,CRWD US EQUITY,stock
TMUS US EQUITY,T-Mobile US Inc,20,6385363,0.86,TMUS US EQUITY,stock
AAPL US EQUITY,Apple Inc,15,5723785,0.78,AAPL US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,11,5619219,0.76,AMAT US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,6,3313272,0.45,MSFT US EQUITY,stock
