종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,206,60978430,6.66,NVDA US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,81,56583248,6.18,MSFT US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,122,49636755,5.42,AMZN US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,91,48689829,5.32,GOOGL US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,66,45820288,5.01,AMD US EQUITY,stock
INTC US EQUITY,Intel Corp,319,41584042,4.54,INTC US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,22,40592265,4.43,SNDK US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,33109945,3.62,NQU6 INDEX,futures
MU US EQUITY,Micron Technology Inc,27,32082986,3.5,MU US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,98,29843043,3.26,NBIS US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,87,27212414,2.97,CRDO US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,155,24470752,2.67,AAOI US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,19,22619375,2.47,STX US EQUITY,stock
,현금,21082539,21082539,2.3,현금,cash
DELL US EQUITY,Dell Technologies Inc,34,20895419,2.28,DELL US EQUITY,stock
SKHY US EQUITY,SK hynix Inc,102,20853532,2.28,SKHY US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,37,20789170,2.27,AVGO US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,95,19936818,2.18,COIN US EQUITY,stock
WDC US EQUITY,Western Digital Corp,26,19636308,2.15,WDC US EQUITY,stock
AAPL US EQUITY,Apple Inc,42,18255264,1.99,AAPL US EQUITY,stock
META US EQUITY,Meta Platforms Inc,21,17755894,1.94,META US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,129,16694154,1.82,HOOD US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,22,16331388,1.78,AMAT US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,52,14434299,1.58,MRVL US EQUITY,stock
TER US EQUITY,Teradyne Inc,27,14148229,1.55,TER US EQUITY,stock
TSLA US EQUITY,Tesla Inc,30,13841388,1.51,TSLA US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,12,13406309,1.46,LITE US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,30,11304573,1.24,VRT US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,91,11179459,1.22,CRWV US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,6,9638089,1.05,LLY US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,22,9284634,1.01,LRCX US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,20,9198082,1.01,ALAB US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,27,9062911,0.99,TSEM US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,26,8903789,0.97,ARM US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,8653102,0.95,GEV US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,50,8203211,0.9,SPCX US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,14,8144536,0.89,TSM US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,24,7505841,0.82,BE US EQUITY,stock
MSTR US EQUITY,Strategy Inc,53,7202008,0.79,MSTR US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,33,7165092,0.78,QCOM US EQUITY,stock
GLW US EQUITY,Corning Inc,34,7142101,0.78,GLW US EQUITY,stock
COST US EQUITY,Costco Wholesale Corp,4,5466878,0.6,COST US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,54,5448112,0.6,RKLB US EQUITY,stock
WMT US EQUITY,Walmart Inc,34,5392130,0.59,WMT US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,14,5044233,0.55,SIMO US EQUITY,stock
APP US EQUITY,AppLovin Corp,7,4072769,0.45,APP US EQUITY,stock
KLAC US EQUITY,KLA Corp,15,3926840,0.43,KLAC US EQUITY,stock
ASML US EQUITY,ASML Holding NV,1,2352909,0.26,ASML US EQUITY,stock
