종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,280,93076241,9.05,NVDA US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,108,63085617,6.13,GOOGL US EQUITY,stock
INTC US EQUITY,Intel Corp,362,60437145,5.87,INTC US EQUITY,stock
SNDK US EQUITY,Sandisk Corp/DE,24,50024192,4.86,SNDK US EQUITY,stock
MU US EQUITY,Micron Technology Inc,45,47378764,4.6,MU US EQUITY,stock
AAPL US EQUITY,Apple Inc,91,40994407,3.98,AAPL US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,64,40253981,3.91,MSFT US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,107,35977938,3.5,ARM US EQUITY,stock
,현금,31465479,31465479,3.06,현금,cash
AMD US EQUITY,Advanced Micro Devices Inc,50,31194527,3.03,AMD US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,104,30315007,2.95,COIN US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,144,27623621,2.68,RKLB US EQUITY,stock
TSLA US EQUITY,Tesla Inc,43,26183256,2.54,TSLA US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,154,25764200,2.5,CRCL US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,91,23492564,2.28,AAOI US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,21,23205247,2.26,STX US EQUITY,stock
WDC US EQUITY,Western Digital Corp,33,22664381,2.2,WDC US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,57,22274090,2.17,AMZN US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,56,22052078,2.14,BE US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,82,21779498,2.12,MRVL US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,34,21059609,2.05,AVGO US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,183,20449204,1.99,HOOD US EQUITY,stock
CIEN US EQUITY,Ciena Corp,23,18780996,1.83,CIEN US EQUITY,stock
MSTR US EQUITY,Strategy Inc,74,18356771,1.78,MSTR US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,59,17578434,1.71,NBIS US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,36,17500999,1.7,VRT US EQUITY,stock
GLW US EQUITY,Corning Inc,66,17486082,1.7,GLW US EQUITY,stock
NQM6 Index,NASDAQ 100 E-MINI INDEX JUN 2026,0,17433223,1.69,NQM6 INDEX,futures
GEV US EQUITY,GE Vernova Inc,11,16770382,1.63,GEV US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,12,16094251,1.56,LITE US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,44,15597549,1.52,DELL US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,39,14766519,1.44,TSEM US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,57,14514145,1.41,CRDO US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,37,14100694,1.37,SIMO US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,19,11240110,1.09,TSM US EQUITY,stock
ASML US EQUITY,ASML Holding NV,4,8796336,0.86,ASML US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,19,7826650,0.76,LRCX US EQUITY,stock
COHR US EQUITY,Coherent Corp,13,6927045,0.67,COHR US EQUITY,stock
FTAI US EQUITY,FTAI Aviation Ltd,15,5051320,0.49,FTAI US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,8,4905055,0.48,AMAT US EQUITY,stock
META US EQUITY,Meta Platforms Inc,5,4540063,0.44,META US EQUITY,stock
