종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
MU US EQUITY,Micron Technology Inc,49,78059717,6.6,MU US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,25,74782087,6.32,SNDK US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,101,64606836,5.46,ARM US EQUITY,stock
INTC US EQUITY,Intel Corp,337,62322019,5.27,INTC US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,171,53441093,4.52,NVDA US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,101,44657809,3.78,MRVL US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,60,38420614,3.25,DELL US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,49,38347802,3.24,AMD US EQUITY,stock
WDC US EQUITY,Western Digital Corp,34,36974786,3.13,WDC US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,122,35737255,3.02,SPCX US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,91,34648417,2.93,CRDO US EQUITY,stock
,현금,34230960,34230960,2.9,현금,cash
STX US EQUITY,Seagate Technology Holdings PLC,21,34187905,2.89,STX US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,57,32570385,2.75,LRCX US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,58,32221535,2.73,GOOGL US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,35,31690684,2.68,AMAT US EQUITY,stock
AAPL US EQUITY,Apple Inc,64,28924495,2.45,AAPL US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,66,28312525,2.39,NBIS US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,27486654,2.33,NQU6 INDEX,futures
AVGO US EQUITY,Broadcom Inc,44,26399893,2.23,AVGO US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,42,24302605,2.06,MSFT US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,92,23510132,1.99,AAOI US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,135,21687874,1.83,HOOD US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,59,21398488,1.81,AMZN US EQUITY,stock
ASML US EQUITY,ASML Holding NV,7,19966542,1.69,ASML US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,66,16621551,1.41,COIN US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,131,16122037,1.36,CRCL US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,31,14539091,1.23,SIMO US EQUITY,stock
KLAC US EQUITY,KLA Corp,37,13488889,1.14,KLAC US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,8,12813712,1.08,GEV US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,39,12683832,1.07,QCOM US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,28,12185830,1.03,BE US EQUITY,stock
META US EQUITY,Meta Platforms Inc,14,12134519,1.03,META US EQUITY,stock
GLW US EQUITY,Corning Inc,44,11785546,1.0,GLW US EQUITY,stock
APP US EQUITY,AppLovin Corp,16,11715666,0.99,APP US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,24,11639434,0.98,VRT US EQUITY,stock
MSTR US EQUITY,Strategy Inc,63,11213922,0.95,MSTR US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,65,10718256,0.91,RKLB US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,8,10628371,0.9,LITE US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,16,10558980,0.89,TSM US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,58,10204357,0.86,CRWV US EQUITY,stock
TSLA US EQUITY,Tesla Inc,15,9079678,0.77,TSLA US EQUITY,stock
TER US EQUITY,Teradyne Inc,14,8734767,0.74,TER US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,15,8582607,0.73,ALAB US EQUITY,stock
ORCL US EQUITY,Oracle Corp,29,8127791,0.69,ORCL US EQUITY,stock
