종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,216,64351086,7.23,NVDA US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,111,56024996,6.3,GOOGL US EQUITY,stock
SNDK US EQUITY,Sandisk Corp/DE,39,53058970,5.96,SNDK US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,27,35659445,4.01,LITE US EQUITY,stock
CIEN US EQUITY,Ciena Corp,46,34480477,3.87,CIEN US EQUITY,stock
TSLA US EQUITY,Tesla Inc,58,34324160,3.86,TSLA US EQUITY,stock
INTC US EQUITY,Intel Corp,328,33189729,3.73,INTC US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,103,31393439,3.53,COIN US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,126,31032988,3.49,ARM US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,100,30705079,3.45,BE US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,191,29881998,3.36,CRCL US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,124,28783773,3.23,NBIS US EQUITY,stock
META US EQUITY,Meta Platforms Inc,27,27462403,3.09,META US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,42,25222717,2.83,AVGO US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,65,24058270,2.7,AMZN US EQUITY,stock
NQM6 Index,NASDAQ 100 E-MINI INDEX JUN 2026,0,23775977,2.67,NQM6 INDEX,futures
MU US EQUITY,Micron Technology Inc,35,23528029,2.64,MU US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,70,23415835,2.63,TSEM US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,42,19068111,2.14,VRT US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,88,18161405,2.04,SIMO US EQUITY,stock
WDC US EQUITY,Western Digital Corp,33,18159455,2.04,WDC US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,29,18111816,2.04,MSFT US EQUITY,stock
,현금,18092191,18092191,2.03,현금,cash
STX US EQUITY,Seagate Technology Holdings PLC,20,16182726,1.82,STX US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,118,15818596,1.78,HOOD US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,27,14777170,1.66,TSM US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,9,13331360,1.5,GEV US EQUITY,stock
ASML US EQUITY,ASML Holding NV,6,12938499,1.45,ASML US EQUITY,stock
MSTR US EQUITY,Strategy Inc,52,12791133,1.44,MSTR US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,85,10647657,1.2,RKLB US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,24,9487169,1.07,LRCX US EQUITY,stock
GLW US EQUITY,Corning Inc,38,9227241,1.04,GLW US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,43,8873052,1.0,MRVL US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,37,8782736,0.99,CRDO US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,21,8635991,0.97,AMD US EQUITY,stock
COHR US EQUITY,Coherent Corp,16,8154616,0.92,COHR US EQUITY,stock
TER US EQUITY,Teradyne Inc,14,7866562,0.88,TER US EQUITY,stock
FTAI US EQUITY,FTAI Aviation Ltd,19,7272949,0.82,FTAI US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,27,6358371,0.71,AAOI US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,10,5863597,0.66,AMAT US EQUITY,stock
AAPL US EQUITY,Apple Inc,14,5588572,0.63,AAPL US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,4,5477634,0.62,LLY US EQUITY,stock
