종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp,24,84850146,6.85,SNDK US EQUITY,stock
INTC US EQUITY,Intel Corp,306,66435870,5.37,INTC US EQUITY,stock
MU US EQUITY,Micron Technology Inc,35,62818193,5.07,MU US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,89,59966848,4.84,LRCX US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,80,53670172,4.34,DELL US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,172,53512629,4.32,NVDA US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,58,52388903,4.23,AMD US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,92,42613402,3.44,MRVL US EQUITY,stock
WDC US EQUITY,Western Digital Corp,42,41712120,3.37,WDC US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,37,41595129,3.36,AMAT US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,94,39748375,3.21,CRDO US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,37968792,3.07,NQU6 INDEX,futures
STX US EQUITY,Seagate Technology Holdings PLC,23,34511005,2.79,STX US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,74,31776838,2.57,NBIS US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,134,30870113,2.49,AAOI US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,55,30322649,2.45,ARM US EQUITY,stock
,현금,30231478,30231478,2.44,현금,cash
GOOGL US EQUITY,Alphabet Inc,53,29450754,2.38,GOOGL US EQUITY,stock
AAPL US EQUITY,Apple Inc,58,26095700,2.11,AAPL US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,40,23494539,1.9,AVGO US EQUITY,stock
GLW US EQUITY,Corning Inc,57,22638582,1.83,GLW US EQUITY,stock
KLAC US EQUITY,KLA Corp,48,22518186,1.82,KLAC US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,38,22040334,1.78,MSFT US EQUITY,stock
TER US EQUITY,Teradyne Inc,29,21817361,1.76,TER US EQUITY,stock
TSLA US EQUITY,Tesla Inc,32,20927710,1.69,TSLA US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,54,20012122,1.62,AMZN US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,122,19022895,1.54,HOOD US EQUITY,stock
ASML US EQUITY,ASML Holding NV,6,18560281,1.5,ASML US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,32,16659571,1.35,VRT US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,22,16523051,1.34,ALAB US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,28,14512254,1.17,SIMO US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,54,14346191,1.16,SPCX US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,60,13638649,1.1,COIN US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,7,12787528,1.03,GEV US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,26,12237373,0.99,BE US EQUITY,stock
APP US EQUITY,AppLovin Corp,15,12016966,0.97,APP US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,6,11189962,0.9,LLY US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,15,11138603,0.9,TSM US EQUITY,stock
META US EQUITY,Meta Platforms Inc,12,10510315,0.85,META US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,36,10343878,0.84,QCOM US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,7,9339382,0.75,LITE US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,59,9325279,0.75,RKLB US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,53,8203061,0.66,CRWV US EQUITY,stock
MSTR US EQUITY,Strategy Inc,57,7704545,0.62,MSTR US EQUITY,stock
ORCL US EQUITY,Oracle Corp,26,5924635,0.48,ORCL US EQUITY,stock
