종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,238,72867845,7.44,NVDA US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,67,53031126,5.41,AMD US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,22,51957619,5.3,SNDK US EQUITY,stock
MU US EQUITY,Micron Technology Inc,35,50828469,5.19,MU US EQUITY,stock
INTC US EQUITY,Intel Corp,322,47333136,4.83,INTC US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,232,34562716,3.53,HOOD US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,33580153,3.43,NQU6 INDEX,futures
DELL US EQUITY,Dell Technologies Inc,49,31572466,3.22,DELL US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,54,31082211,3.17,AVGO US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,88,30522879,3.12,CRDO US EQUITY,stock
AAPL US EQUITY,Apple Inc,63,29720033,3.03,AAPL US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,63,29546328,3.02,LRCX US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,52,29100511,2.97,MSFT US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,35,28889086,2.95,AMAT US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,57,26557676,2.71,GOOGL US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,19,25451141,2.6,STX US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,96,22690296,2.32,COIN US EQUITY,stock
WDC US EQUITY,Western Digital Corp,26,21288872,2.17,WDC US EQUITY,stock
SKHY US EQUITY,SK hynix Inc,82,20384273,2.08,SKHY US EQUITY,stock
META US EQUITY,Meta Platforms Inc,21,18667031,1.91,META US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,50,17134287,1.75,AMZN US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,51,16527804,1.69,NBIS US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,53,16270401,1.66,MRVL US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,39,16189152,1.65,ARM US EQUITY,stock
ASML US EQUITY,ASML Holding NV,6,15865678,1.62,ASML US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,94,15443122,1.58,AAOI US EQUITY,stock
TER US EQUITY,Teradyne Inc,27,14799827,1.51,TER US EQUITY,stock
KLAC US EQUITY,KLA Corp,44,14114734,1.44,KLAC US EQUITY,stock
TSLA US EQUITY,Tesla Inc,30,14065720,1.44,TSLA US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,30,13377151,1.37,VRT US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,27,11447047,1.17,SIMO US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,6,10435181,1.07,LLY US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,20,9590684,0.98,ALAB US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,9074059,0.93,GEV US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,50,8670539,0.89,SPCX US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,7,8558314,0.87,LITE US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,14,8532854,0.87,TSM US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,33,8281347,0.85,QCOM US EQUITY,stock
APP US EQUITY,AppLovin Corp,14,8189553,0.84,APP US EQUITY,stock
GLW US EQUITY,Corning Inc,34,7781838,0.79,GLW US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,24,7648612,0.78,BE US EQUITY,stock
MSTR US EQUITY,Strategy Inc,53,7277841,0.74,MSTR US EQUITY,stock
,현금,6818875,6818875,0.7,현금,cash
CRWV US EQUITY,CoreWeave Inc,49,5828121,0.6,CRWV US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,55,5645603,0.58,RKLB US EQUITY,stock
ORCL US EQUITY,Oracle Corp,25,4401266,0.45,ORCL US EQUITY,stock
PANW US EQUITY,Palo Alto Networks Inc,9,4298120,0.44,PANW US EQUITY,stock
CRWD US EQUITY,Crowdstrike Holdings Inc,15,4035056,0.41,CRWD US EQUITY,stock
