종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,230,69152380,7.6,NVDA US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,20,44385192,4.88,SNDK US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,106,38228106,4.2,AMZN US EQUITY,stock
MU US EQUITY,Micron Technology Inc,27,36474530,4.01,MU US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,52,34689952,3.81,MSFT US EQUITY,stock
SKHY US EQUITY,SK hynix Inc,145,32786010,3.6,SKHY US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,32500114,3.57,NQU6 INDEX,futures
AAOI US EQUITY,Applied Optoelectronics Inc,170,30429515,3.34,AAOI US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,93,28381973,3.12,NBIS US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,85,27265175,3.0,CRDO US EQUITY,stock
INTC US EQUITY,Intel Corp,211,26952769,2.96,INTC US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,22,26820677,2.95,LITE US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,109,26046996,2.86,COIN US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,194,25580093,2.81,HOOD US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,80,24821677,2.73,TSEM US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,40,24112898,2.65,DELL US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,51,24089286,2.65,GOOGL US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,37,24083276,2.65,AMD US EQUITY,stock
,현금,23491416,23491416,2.58,현금,cash
BE US EQUITY,Bloom Energy Corp,66,18528742,2.04,BE US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,51,17749293,1.95,MRVL US EQUITY,stock
MSTR US EQUITY,Strategy Inc,110,17141160,1.88,MSTR US EQUITY,stock
GLW US EQUITY,Corning Inc,72,15118950,1.66,GLW US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,118,14685364,1.61,CRWV US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,40,14676379,1.61,VRT US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,28,14132372,1.55,AVGO US EQUITY,stock
TSLA US EQUITY,Tesla Inc,29,13877159,1.53,TSLA US EQUITY,stock
TER US EQUITY,Teradyne Inc,26,13812174,1.52,TER US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,71,13191161,1.45,SPCX US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,11,12967435,1.43,STX US EQUITY,stock
AAPL US EQUITY,Apple Inc,30,12948523,1.42,AAPL US EQUITY,stock
WDC US EQUITY,Western Digital Corp,19,12356418,1.36,WDC US EQUITY,stock
META US EQUITY,Meta Platforms Inc,15,11351899,1.25,META US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,15,10319927,1.13,AMAT US EQUITY,stock
PLTR US EQUITY,Palantir Technologies Inc,40,9647821,1.06,PLTR US EQUITY,stock
COST US EQUITY,Costco Wholesale Corp,7,9060181,1.0,COST US EQUITY,stock
WMT US EQUITY,Walmart Inc,62,8926397,0.98,WMT US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,25,8690582,0.96,ARM US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,5,8626803,0.95,LLY US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,20,8056119,0.89,ALAB US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,8036237,0.88,GEV US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,13,7498192,0.82,TSM US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,32,7131712,0.78,QCOM US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,53,5360694,0.59,RKLB US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,14,4845956,0.53,SIMO US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,11,4736048,0.52,LRCX US EQUITY,stock
KLAC US EQUITY,KLA Corp,15,3865423,0.43,KLAC US EQUITY,stock
ASML US EQUITY,ASML Holding NV,1,2426804,0.27,ASML US EQUITY,stock
