종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp/DE,55,57900797,7.54,SNDK US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,41,47643582,6.2,LITE US EQUITY,stock
CIEN US EQUITY,Ciena Corp,75,47345113,6.16,CIEN US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,141,37659305,4.9,NVDA US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,124,32598719,4.24,COIN US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,128,30164464,3.93,ARM US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,65,29376332,3.82,GOOGL US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,122,24556680,3.2,BE US EQUITY,stock
ASML US EQUITY,ASML Holding NV,11,22730699,2.96,ASML US EQUITY,stock
NQM6 Index,NASDAQ 100 E-MINI INDEX JUN 2026,0,22061256,2.87,NQM6 INDEX,futures
TSEM US EQUITY,Tower Semiconductor Ltd,75,21321770,2.78,TSEM US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,118,20977391,2.73,SIMO US EQUITY,stock
MU US EQUITY,Micron Technology Inc,37,20683800,2.69,MU US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,149,20546739,2.67,CRCL US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,59,19905927,2.59,LRCX US EQUITY,stock
,현금,18341352,18341352,2.39,현금,cash
VRT US EQUITY,Vertiv Holdings Co,46,18131571,2.36,VRT US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,13,17677363,2.3,GEV US EQUITY,stock
GLW US EQUITY,Corning Inc,76,16444491,2.14,GLW US EQUITY,stock
WDC US EQUITY,Western Digital Corp,36,16288570,2.12,WDC US EQUITY,stock
INTC US EQUITY,Intel Corp,223,16277035,2.12,INTC US EQUITY,stock
AXTI US EQUITY,AXT Inc,209,14972479,1.95,AXTI US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,22,14146340,1.84,STX US EQUITY,stock
META US EQUITY,Meta Platforms Inc,16,14084093,1.83,META US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,27,14011983,1.82,TSM US EQUITY,stock
ASTS US EQUITY,AST SpaceMobile Inc,96,12253401,1.6,ASTS US EQUITY,stock
FTAI US EQUITY,FTAI Aviation Ltd,32,12148360,1.58,FTAI US EQUITY,stock
COHR US EQUITY,Coherent Corp,27,10167704,1.32,COHR US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,17,9542637,1.24,MSFT US EQUITY,stock
TSLA US EQUITY,Tesla Inc,16,9270413,1.21,TSLA US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,92,9160508,1.19,RKLB US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,22,7028035,0.92,AMD US EQUITY,stock
UUUU US EQUITY,Energy Fuels Inc/Canada,254,6928768,0.9,UUUU US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,21,6720067,0.88,AMZN US EQUITY,stock
MSTR US EQUITY,Strategy Inc,36,6717195,0.87,MSTR US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,14,6669750,0.87,AVGO US EQUITY,stock
IPGP US EQUITY,IPG Photonics Corp,38,6669385,0.87,IPGP US EQUITY,stock
CRWD US EQUITY,Crowdstrike Holdings Inc,11,6574845,0.86,CRWD US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,50,6561304,0.85,AAOI US EQUITY,stock
FANG US EQUITY,Diamondback Energy Inc,22,6373074,0.83,FANG US EQUITY,stock
BKR US EQUITY,Baker Hughes Co,69,6327210,0.82,BKR US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,11,5914368,0.77,AMAT US EQUITY,stock
TMUS US EQUITY,T-Mobile US Inc,19,5897575,0.77,TMUS US EQUITY,stock
AAPL US EQUITY,Apple Inc,15,5827213,0.76,AAPL US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,4,5802336,0.76,LLY US EQUITY,stock
