종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,229,68182214,7.69,NVDA US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,20,40646872,4.59,SNDK US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,105,38286790,4.32,AMZN US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,51,35843675,4.04,MSFT US EQUITY,stock
MU US EQUITY,Micron Technology Inc,27,34471229,3.89,MU US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,32289927,3.64,NQU6 INDEX,futures
SKHY US EQUITY,SK hynix Inc,144,31737505,3.58,SKHY US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,97,27980602,3.16,BE US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,193,27539215,3.11,HOOD US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,22,26947734,3.04,LITE US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,84,26757498,3.02,CRDO US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,108,26404564,2.98,COIN US EQUITY,stock
INTC US EQUITY,Intel Corp,210,25714214,2.9,INTC US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,40,24976402,2.82,DELL US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,51,24191496,2.73,GOOGL US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,37,23576133,2.66,AMD US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,78,22330132,2.52,NBIS US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,74,21938493,2.48,MRVL US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,141,20499479,2.31,AAOI US EQUITY,stock
PLTR US EQUITY,Palantir Technologies Inc,75,19121737,2.16,PLTR US EQUITY,stock
MSTR US EQUITY,Strategy Inc,109,18991774,2.14,MSTR US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,65,18504361,2.09,TSEM US EQUITY,stock
SNOW US EQUITY,Snowflake Inc,39,17507131,1.98,SNOW US EQUITY,stock
GLW US EQUITY,Corning Inc,72,14680370,1.66,GLW US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,28,14132327,1.59,AVGO US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,40,14073587,1.59,VRT US EQUITY,stock
TSLA US EQUITY,Tesla Inc,29,13841678,1.56,TSLA US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,71,13749639,1.55,SPCX US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,118,13602707,1.54,CRWV US EQUITY,stock
,현금,13171787,13171787,1.49,현금,cash
AAPL US EQUITY,Apple Inc,30,13126242,1.48,AAPL US EQUITY,stock
TER US EQUITY,Teradyne Inc,26,12631110,1.43,TER US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,11,12491704,1.41,STX US EQUITY,stock
WDC US EQUITY,Western Digital Corp,19,11947262,1.35,WDC US EQUITY,stock
META US EQUITY,Meta Platforms Inc,15,11866172,1.34,META US EQUITY,stock
NOW US EQUITY,ServiceNow Inc,44,8714204,0.98,NOW US EQUITY,stock
PANW US EQUITY,Palo Alto Networks Inc,17,8645487,0.98,PANW US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,25,8179095,0.92,ARM US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,5,8037856,0.91,LLY US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,19,7527204,0.85,ALAB US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,7488404,0.85,GEV US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,13,7428432,0.84,TSM US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,32,7190733,0.81,QCOM US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,14,4709817,0.53,SIMO US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,53,4670580,0.53,RKLB US EQUITY,stock
