종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,217,69340828,7.12,NVDA US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,23,49848323,5.12,SNDK US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,119,44748031,4.6,AMZN US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,59,41578769,4.27,MSFT US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,109,39427832,4.05,NBIS US EQUITY,stock
INTC US EQUITY,Intel Corp,248,36777767,3.78,INTC US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,198,36529507,3.75,AAOI US EQUITY,stock
MU US EQUITY,Micron Technology Inc,27,36372885,3.74,MU US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,34253079,3.52,NQU6 INDEX,futures
CRDO US EQUITY,Credo Technology Group Holding Ltd,85,32066557,3.29,CRDO US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,61,29965785,3.08,GOOGL US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,23,28719766,2.95,LITE US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,80,28700718,2.95,TSEM US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,40,28054541,2.88,DELL US EQUITY,stock
,현금,25663316,25663316,2.64,현금,cash
AMD US EQUITY,Advanced Micro Devices Inc,37,25346964,2.6,AMD US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,156,23517172,2.42,CRWV US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,66,22112034,2.27,BE US EQUITY,stock
SKHY US EQUITY,SK hynix Inc,87,20442369,2.1,SKHY US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,126,17757995,1.82,HOOD US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,29,17185229,1.77,AVGO US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,41,16693206,1.72,VRT US EQUITY,stock
GLW US EQUITY,Corning Inc,72,16189724,1.66,GLW US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,51,16071012,1.65,MRVL US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,71,15497622,1.59,COIN US EQUITY,stock
TER US EQUITY,Teradyne Inc,26,15138253,1.56,TER US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,72,14428195,1.48,SPCX US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,11,14374569,1.48,STX US EQUITY,stock
TSLA US EQUITY,Tesla Inc,29,13982792,1.44,TSLA US EQUITY,stock
WDC US EQUITY,Western Digital Corp,19,13131344,1.35,WDC US EQUITY,stock
AAPL US EQUITY,Apple Inc,30,12988507,1.33,AAPL US EQUITY,stock
META US EQUITY,Meta Platforms Inc,15,12657689,1.3,META US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,15,11372071,1.17,AMAT US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,26,10275441,1.06,ARM US EQUITY,stock
WMT US EQUITY,Walmart Inc,62,10175791,1.05,WMT US EQUITY,stock
PLTR US EQUITY,Palantir Technologies Inc,40,10155595,1.04,PLTR US EQUITY,stock
COST US EQUITY,Costco Wholesale Corp,7,9549342,0.98,COST US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,20,9155977,0.94,ALAB US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,8930354,0.92,GEV US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,5,8573623,0.88,LLY US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,13,7937331,0.82,TSM US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,32,7479093,0.77,QCOM US EQUITY,stock
MSTR US EQUITY,Strategy Inc,52,7161280,0.74,MSTR US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,53,6021108,0.62,RKLB US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,11,5257794,0.54,LRCX US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,14,4946576,0.51,SIMO US EQUITY,stock
KLAC US EQUITY,KLA Corp,15,4454242,0.46,KLAC US EQUITY,stock
ASML US EQUITY,ASML Holding NV,1,2620876,0.27,ASML US EQUITY,stock
