종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,214,67907164,6.27,NVDA US EQUITY,stock
MU US EQUITY,Micron Technology Inc,47,67044726,6.19,MU US EQUITY,stock
INTC US EQUITY,Intel Corp,352,57901065,5.35,INTC US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,21,52702781,4.87,SNDK US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,105,51990919,4.8,ARM US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,81,44971612,4.15,GOOGL US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,105,42711742,3.94,MRVL US EQUITY,stock
AAPL US EQUITY,Apple Inc,91,40299924,3.72,AAPL US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,62,38122406,3.52,MSFT US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,51,36963000,3.41,AMD US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,63,36660271,3.39,DELL US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,60,29919436,2.76,LRCX US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,80,28572043,2.64,CRDO US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,46,27495592,2.54,AVGO US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,36,27392251,2.53,AMAT US EQUITY,stock
NQM6 Index,NASDAQ 100 E-MINI INDEX JUN 2026,0,26628078,2.46,NQM6 INDEX,futures
,현금,25797683,25797683,2.38,현금,cash
STX US EQUITY,Seagate Technology Holdings PLC,19,24500280,2.26,STX US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,97,24081384,2.22,AAOI US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,62,23076052,2.13,AMZN US EQUITY,stock
WDC US EQUITY,Western Digital Corp,29,22884155,2.11,WDC US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,92,21805205,2.01,COIN US EQUITY,stock
TSLA US EQUITY,Tesla Inc,35,21161687,1.95,TSLA US EQUITY,stock
ASML US EQUITY,ASML Holding NV,7,18967739,1.75,ASML US EQUITY,stock
META US EQUITY,Meta Platforms Inc,21,18711673,1.73,META US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,141,18003194,1.66,HOOD US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,52,17446359,1.61,NBIS US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,136,16811316,1.55,CRCL US EQUITY,stock
ORCL US EQUITY,Oracle Corp,50,15684780,1.45,ORCL US EQUITY,stock
GLW US EQUITY,Corning Inc,59,15642041,1.44,GLW US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,10,14024926,1.3,GEV US EQUITY,stock
APP US EQUITY,AppLovin Corp,17,13495693,1.25,APP US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,33,13065061,1.21,SIMO US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,41,12837147,1.19,QCOM US EQUITY,stock
MSTR US EQUITY,Strategy Inc,66,11771884,1.09,MSTR US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,29,11475229,1.06,BE US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,9,11272739,1.04,LITE US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,68,11217563,1.04,RKLB US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,17,11088006,1.02,TSM US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,25,11032159,1.02,VRT US EQUITY,stock
