종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,219,64441237,7.31,NVDA US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,112,55830395,6.33,GOOGL US EQUITY,stock
SNDK US EQUITY,Sandisk Corp/DE,39,53197316,6.03,SNDK US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,27,35697371,4.05,LITE US EQUITY,stock
TSLA US EQUITY,Tesla Inc,59,34039055,3.86,TSLA US EQUITY,stock
CIEN US EQUITY,Ciena Corp,46,33790895,3.83,CIEN US EQUITY,stock
INTC US EQUITY,Intel Corp,332,33737757,3.83,INTC US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,102,31785649,3.6,BE US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,105,31126240,3.53,COIN US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,126,30905518,3.5,NBIS US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,193,30767463,3.49,CRCL US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,121,29138803,3.3,ARM US EQUITY,stock
META US EQUITY,Meta Platforms Inc,27,27111689,3.07,META US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,42,24827470,2.82,AVGO US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,65,24077946,2.73,AMZN US EQUITY,stock
MU US EQUITY,Micron Technology Inc,35,23740524,2.69,MU US EQUITY,stock
NQM6 Index,NASDAQ 100 E-MINI INDEX JUN 2026,0,23576301,2.67,NQM6 INDEX,futures
TSEM US EQUITY,Tower Semiconductor Ltd,71,22619295,2.57,TSEM US EQUITY,stock
,현금,22526888,22526888,2.55,현금,cash
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,35,18866040,2.14,TSM US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,43,18762699,2.13,VRT US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,30,18703671,2.12,MSFT US EQUITY,stock
WDC US EQUITY,Western Digital Corp,34,18243281,2.07,WDC US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,89,18088315,2.05,SIMO US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,20,15778802,1.79,STX US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,122,15718720,1.78,HOOD US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,9,13062039,1.48,GEV US EQUITY,stock
ASML US EQUITY,ASML Holding NV,6,12557797,1.42,ASML US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,86,10580292,1.2,RKLB US EQUITY,stock
GLW US EQUITY,Corning Inc,39,9608807,1.09,GLW US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,24,9291219,1.05,LRCX US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,21,8668772,0.98,AMD US EQUITY,stock
ASTS US EQUITY,AST SpaceMobile Inc,58,7824750,0.89,ASTS US EQUITY,stock
COHR US EQUITY,Coherent Corp,16,7785408,0.88,COHR US EQUITY,stock
TER US EQUITY,Teradyne Inc,14,7599792,0.86,TER US EQUITY,stock
MSTR US EQUITY,Strategy Inc,34,7512384,0.85,MSTR US EQUITY,stock
FTAI US EQUITY,FTAI Aviation Ltd,19,7157116,0.81,FTAI US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,28,6534758,0.74,AAOI US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,10,5784166,0.66,AMAT US EQUITY,stock
AAPL US EQUITY,Apple Inc,14,5470554,0.62,AAPL US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,4,5364276,0.61,LLY US EQUITY,stock
