종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp,29,72477879,7.04,SNDK US EQUITY,stock
MU US EQUITY,Micron Technology Inc,43,60154463,5.85,MU US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,74,59040475,5.74,AMD US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,144,43757321,4.25,NVDA US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,66,42086565,4.09,DELL US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,84,41375927,4.02,LRCX US EQUITY,stock
INTC US EQUITY,Intel Corp,259,39875163,3.88,INTC US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,30,38548961,3.75,STX US EQUITY,stock
WDC US EQUITY,Western Digital Corp,46,38154062,3.71,WDC US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,35205835,3.42,NQU6 INDEX,futures
CRDO US EQUITY,Credo Technology Group Holding Ltd,89,31475903,3.06,CRDO US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,35,30067004,2.92,AMAT US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,176,28867692,2.81,HOOD US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,87,28255189,2.75,MRVL US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,52,23212387,2.26,ARM US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,70,22000400,2.14,NBIS US EQUITY,stock
,현금,21925406,21925406,2.13,현금,cash
AVGO US EQUITY,Broadcom Inc,38,21788692,2.12,AVGO US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,127,21213678,2.06,AAOI US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,40,21051897,2.05,GOOGL US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,36,21014930,2.04,MSFT US EQUITY,stock
AAPL US EQUITY,Apple Inc,43,20370984,1.98,AAPL US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,51,18830925,1.83,AMZN US EQUITY,stock
TSLA US EQUITY,Tesla Inc,30,17681300,1.72,TSLA US EQUITY,stock
ASML US EQUITY,ASML Holding NV,6,15461866,1.5,ASML US EQUITY,stock
KLAC US EQUITY,KLA Corp,45,14931866,1.45,KLAC US EQUITY,stock
GLW US EQUITY,Corning Inc,54,14762694,1.44,GLW US EQUITY,stock
TER US EQUITY,Teradyne Inc,27,13750485,1.34,TER US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,30,13699917,1.33,VRT US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,56,13157390,1.28,COIN US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,27,12073547,1.17,SIMO US EQUITY,stock
META US EQUITY,Meta Platforms Inc,12,11765974,1.14,META US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,21,11351353,1.1,ALAB US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,51,10594537,1.03,SPCX US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,6,10587191,1.03,LLY US EQUITY,stock
SKHY US EQUITY,SK hynix Inc,45,10235634,1.0,SKHY US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,9339610,0.91,GEV US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,34,9339192,0.91,QCOM US EQUITY,stock
APP US EQUITY,AppLovin Corp,14,9256450,0.9,APP US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,14,8811865,0.86,TSM US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,24,8366413,0.81,BE US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,7,8027935,0.78,LITE US EQUITY,stock
MSTR US EQUITY,Strategy Inc,54,7425286,0.72,MSTR US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,56,6415241,0.62,RKLB US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,50,6219091,0.6,CRWV US EQUITY,stock
ORCL US EQUITY,Oracle Corp,25,4909730,0.48,ORCL US EQUITY,stock
