종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp/DE,55,48179023,6.86,SNDK US EQUITY,stock
CIEN US EQUITY,Ciena Corp,75,41886487,5.96,CIEN US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,41,41077661,5.85,LITE US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,142,35887179,5.11,NVDA US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,125,30753097,4.38,COIN US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,66,27619835,3.93,GOOGL US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,129,27033561,3.85,ARM US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,122,22309194,3.18,BE US EQUITY,stock
NQM6 Index,NASDAQ 100 E-MINI INDEX JUN 2026,0,21243678,3.02,NQM6 INDEX,futures
ASML US EQUITY,ASML Holding NV,11,21105526,3.0,ASML US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,150,20635693,2.94,CRCL US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,119,19200536,2.73,SIMO US EQUITY,stock
MU US EQUITY,Micron Technology Inc,38,18710674,2.66,MU US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,76,18440887,2.62,TSEM US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,59,18048860,2.57,LRCX US EQUITY,stock
AXTI US EQUITY,AXT Inc,210,16943256,2.41,AXTI US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,46,16485481,2.35,VRT US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,13,16258154,2.31,GEV US EQUITY,stock
GLW US EQUITY,Corning Inc,77,15145465,2.16,GLW US EQUITY,stock
INTC US EQUITY,Intel Corp,224,14117559,2.01,INTC US EQUITY,stock
WDC US EQUITY,Western Digital Corp,36,13862889,1.97,WDC US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,28,13559746,1.93,TSM US EQUITY,stock
META US EQUITY,Meta Platforms Inc,16,13131440,1.87,META US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,22,12200191,1.74,STX US EQUITY,stock
,현금,11660580,11660580,1.66,현금,cash
FTAI US EQUITY,FTAI Aviation Ltd,32,11200821,1.59,FTAI US EQUITY,stock
ASTS US EQUITY,AST SpaceMobile Inc,96,10843390,1.54,ASTS US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,18,9886404,1.41,MSFT US EQUITY,stock
COHR US EQUITY,Coherent Corp,27,9074334,1.29,COHR US EQUITY,stock
TSLA US EQUITY,Tesla Inc,16,8697822,1.24,TSLA US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,92,8077336,1.15,RKLB US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,23,6899098,0.98,AMD US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,5,6783162,0.97,LLY US EQUITY,stock
FANG US EQUITY,Diamondback Energy Inc,22,6686996,0.95,FANG US EQUITY,stock
MSTR US EQUITY,Strategy Inc,36,6689352,0.95,MSTR US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,51,6647810,0.95,AAOI US EQUITY,stock
BKR US EQUITY,Baker Hughes Co,70,6499252,0.93,BKR US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,21,6456945,0.92,AMZN US EQUITY,stock
UUUU US EQUITY,Energy Fuels Inc/Canada,256,6447474,0.92,UUUU US EQUITY,stock
CRWD US EQUITY,Crowdstrike Holdings Inc,11,6396827,0.91,CRWD US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,14,6285252,0.9,AVGO US EQUITY,stock
IPGP US EQUITY,IPG Photonics Corp,38,6261505,0.89,IPGP US EQUITY,stock
TMUS US EQUITY,T-Mobile US Inc,19,6219642,0.89,TMUS US EQUITY,stock
AAPL US EQUITY,Apple Inc,15,5660528,0.81,AAPL US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,11,5438465,0.77,AMAT US EQUITY,stock
