종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,204,63673588,6.78,NVDA US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,81,56217689,5.98,MSFT US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,121,46972087,5.0,AMZN US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,90,46442505,4.94,GOOGL US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,24,46148205,4.91,SNDK US EQUITY,stock
INTC US EQUITY,Intel Corp,316,45468996,4.84,INTC US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,66,45298624,4.82,AMD US EQUITY,stock
MU US EQUITY,Micron Technology Inc,27,34336545,3.65,MU US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,33732669,3.59,NQU6 INDEX,futures
AAOI US EQUITY,Applied Optoelectronics Inc,179,32764827,3.49,AAOI US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,97,30244402,3.22,NBIS US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,86,27505224,2.93,CRDO US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,37,22035241,2.35,AVGO US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,33,21740144,2.31,DELL US EQUITY,stock
,현금,19453211,19453211,2.07,현금,cash
SKHY US EQUITY,SK hynix Inc,88,18923213,2.01,SKHY US EQUITY,stock
AAPL US EQUITY,Apple Inc,42,18597675,1.98,AAPL US EQUITY,stock
META US EQUITY,Meta Platforms Inc,21,17604105,1.87,META US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,128,16912465,1.8,HOOD US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,22,16734320,1.78,AMAT US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,55,16534162,1.76,TSEM US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,52,15623414,1.66,MRVL US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,72,15365763,1.64,COIN US EQUITY,stock
TER US EQUITY,Teradyne Inc,27,14969164,1.59,TER US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,12,14117147,1.5,LITE US EQUITY,stock
WDC US EQUITY,Western Digital Corp,19,14044690,1.49,WDC US EQUITY,stock
TSLA US EQUITY,Tesla Inc,29,13276863,1.41,TSLA US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,11,13119263,1.4,STX US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,90,11518684,1.23,CRWV US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,29,11476198,1.22,VRT US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,26,10164622,1.08,ARM US EQUITY,stock
WMT US EQUITY,Walmart Inc,63,10076830,1.07,WMT US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,6,9993880,1.06,LLY US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,22,9629501,1.03,LRCX US EQUITY,stock
COST US EQUITY,Costco Wholesale Corp,7,9388437,1.0,COST US EQUITY,stock
PLTR US EQUITY,Palantir Technologies Inc,41,9248477,0.98,PLTR US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,20,9067612,0.97,ALAB US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,8696228,0.93,GEV US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,14,8252344,0.88,TSM US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,23,7673698,0.82,BE US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,49,7553586,0.8,SPCX US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,33,7401610,0.79,QCOM US EQUITY,stock
GLW US EQUITY,Corning Inc,33,7362612,0.78,GLW US EQUITY,stock
MSTR US EQUITY,Strategy Inc,52,7283078,0.78,MSTR US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,54,5752550,0.61,RKLB US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,14,4916523,0.52,SIMO US EQUITY,stock
KLAC US EQUITY,KLA Corp,15,4117629,0.44,KLAC US EQUITY,stock
ASML US EQUITY,ASML Holding NV,1,2389449,0.25,ASML US EQUITY,stock
