종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp,25,80764127,7.08,SNDK US EQUITY,stock
MU US EQUITY,Micron Technology Inc,36,62988347,5.52,MU US EQUITY,stock
INTC US EQUITY,Intel Corp,314,62259940,5.46,INTC US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,177,52657032,4.62,NVDA US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,82,50617939,4.44,DELL US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,82,48033129,4.21,LRCX US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,52,41909161,3.68,AMD US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,94,38748022,3.4,MRVL US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,38,36806540,3.23,AMAT US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,36303855,3.18,NQU6 INDEX,futures
CRDO US EQUITY,Credo Technology Group Holding Ltd,97,35672487,3.13,CRDO US EQUITY,stock
WDC US EQUITY,Western Digital Corp,37,33528753,2.94,WDC US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,23,31982086,2.81,STX US EQUITY,stock
,현금,31529365,31529365,2.77,현금,cash
ARM US EQUITY,ARM Holdings PLC,57,29441298,2.58,ARM US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,54,28152091,2.47,GOOGL US EQUITY,stock
AAPL US EQUITY,Apple Inc,59,25871314,2.27,AAPL US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,41,23125185,2.03,AVGO US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,110,23063500,2.02,AAOI US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,61,22650005,1.99,NBIS US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,39,22476216,1.97,MSFT US EQUITY,stock
GLW US EQUITY,Corning Inc,59,20152421,1.77,GLW US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,55,19775392,1.73,AMZN US EQUITY,stock
TSLA US EQUITY,Tesla Inc,33,19362020,1.7,TSLA US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,125,19061973,1.67,HOOD US EQUITY,stock
KLAC US EQUITY,KLA Corp,49,18825727,1.65,KLAC US EQUITY,stock
ASML US EQUITY,ASML Holding NV,6,16638280,1.46,ASML US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,33,15498896,1.36,VRT US EQUITY,stock
TER US EQUITY,Teradyne Inc,22,14850793,1.3,TER US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,61,14049978,1.23,COIN US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,121,13755324,1.21,CRCL US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,29,13679841,1.2,SIMO US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,22,13316966,1.17,ALAB US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,55,13022404,1.14,SPCX US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,7,11304976,0.99,GEV US EQUITY,stock
APP US EQUITY,AppLovin Corp,15,11057760,0.97,APP US EQUITY,stock
META US EQUITY,Meta Platforms Inc,13,11053201,0.97,META US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,37,10827880,0.95,QCOM US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,26,10124953,0.89,BE US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,8,10099179,0.89,LITE US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,15,10021008,0.88,TSM US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,54,8058712,0.71,CRWV US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,60,7837872,0.69,RKLB US EQUITY,stock
MSTR US EQUITY,Strategy Inc,59,7503939,0.66,MSTR US EQUITY,stock
ORCL US EQUITY,Oracle Corp,27,6196731,0.54,ORCL US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,3,5600361,0.49,LLY US EQUITY,stock
