종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,265,84666249,7.61,NVDA US EQUITY,stock
INTC US EQUITY,Intel Corp,343,62767612,5.64,INTC US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,102,59602039,5.36,GOOGL US EQUITY,stock
MU US EQUITY,Micron Technology Inc,42,58599011,5.27,MU US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,113,51405122,4.62,ARM US EQUITY,stock
SNDK US EQUITY,Sandisk Corp/DE,18,43008512,3.86,SNDK US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,55,40958363,3.68,AMD US EQUITY,stock
AAPL US EQUITY,Apple Inc,85,39707357,3.57,AAPL US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,61,37829789,3.4,MSFT US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,82,33499966,3.01,AMZN US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,49,31064589,2.79,AVGO US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,136,30704127,2.76,RKLB US EQUITY,stock
TSLA US EQUITY,Tesla Inc,41,27132693,2.44,TSLA US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,20,26168556,2.35,STX US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,98,25593345,2.3,COIN US EQUITY,stock
WDC US EQUITY,Western Digital Corp,31,24718956,2.22,WDC US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,53,24318249,2.19,DELL US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,53,23400699,2.1,BE US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,86,23241373,2.09,AAOI US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,77,22992689,2.07,MRVL US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,146,22520119,2.02,CRCL US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,173,19818610,1.78,HOOD US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,41,19650808,1.77,LRCX US EQUITY,stock
CIEN US EQUITY,Ciena Corp,22,19244496,1.73,CIEN US EQUITY,stock
,현금,18844284,18844284,1.69,현금,cash
GLW US EQUITY,Corning Inc,63,18072777,1.62,GLW US EQUITY,stock
NQM6 Index,NASDAQ 100 E-MINI INDEX JUN 2026,0,18062002,1.62,NQM6 INDEX,futures
CRDO US EQUITY,Credo Technology Group Holding Ltd,54,17953079,1.61,CRDO US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,56,17535752,1.58,NBIS US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,34,16339223,1.47,VRT US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,12,16271897,1.46,LITE US EQUITY,stock
MSTR US EQUITY,Strategy Inc,70,16221223,1.46,MSTR US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,24,16167122,1.45,AMAT US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,10,15507242,1.39,GEV US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,37,15446124,1.39,TSEM US EQUITY,stock
META US EQUITY,Meta Platforms Inc,16,15274579,1.37,META US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,35,14989378,1.35,SIMO US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,18,11435015,1.03,TSM US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,29,10171852,0.91,QCOM US EQUITY,stock
ASML US EQUITY,ASML Holding NV,4,9605116,0.86,ASML US EQUITY,stock
COHR US EQUITY,Coherent Corp,12,6856014,0.62,COHR US EQUITY,stock
FTAI US EQUITY,FTAI Aviation Ltd,15,5642938,0.51,FTAI US EQUITY,stock
