종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,230,66464049,7.52,NVDA US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,20,41392272,4.68,SNDK US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,106,38505054,4.35,AMZN US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,52,35123940,3.97,MSFT US EQUITY,stock
MU US EQUITY,Micron Technology Inc,27,34072569,3.85,MU US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,32274784,3.65,NQU6 INDEX,futures
SKHY US EQUITY,SK hynix Inc,145,31226961,3.53,SKHY US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,194,27863770,3.15,HOOD US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,93,27187838,3.08,NBIS US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,109,27116717,3.07,COIN US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,85,26227576,2.97,CRDO US EQUITY,stock
INTC US EQUITY,Intel Corp,211,25520679,2.89,INTC US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,170,25361610,2.87,AAOI US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,22,25315370,2.86,LITE US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,51,24604744,2.78,GOOGL US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,40,24017786,2.72,DELL US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,37,23424487,2.65,AMD US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,80,23408456,2.65,TSEM US EQUITY,stock
,현금,20421078,20421078,2.31,현금,cash
MSTR US EQUITY,Strategy Inc,110,18697518,2.11,MSTR US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,66,18664280,2.11,BE US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,51,16208762,1.83,MRVL US EQUITY,stock
GLW US EQUITY,Corning Inc,72,14525773,1.64,GLW US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,40,14136556,1.6,VRT US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,118,14107032,1.6,CRWV US EQUITY,stock
TSLA US EQUITY,Tesla Inc,29,14026708,1.59,TSLA US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,28,13923762,1.58,AVGO US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,71,13285768,1.5,SPCX US EQUITY,stock
TER US EQUITY,Teradyne Inc,26,13150485,1.49,TER US EQUITY,stock
AAPL US EQUITY,Apple Inc,30,12904868,1.46,AAPL US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,11,12116108,1.37,STX US EQUITY,stock
META US EQUITY,Meta Platforms Inc,15,11622864,1.31,META US EQUITY,stock
WDC US EQUITY,Western Digital Corp,19,11466124,1.3,WDC US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,15,10067036,1.14,AMAT US EQUITY,stock
PLTR US EQUITY,Palantir Technologies Inc,40,9752045,1.1,PLTR US EQUITY,stock
COST US EQUITY,Costco Wholesale Corp,7,9425202,1.07,COST US EQUITY,stock
WMT US EQUITY,Walmart Inc,62,9151558,1.04,WMT US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,5,8641848,0.98,LLY US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,25,8274323,0.94,ARM US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,7835068,0.89,GEV US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,20,7693686,0.87,ALAB US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,13,7390075,0.84,TSM US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,32,7031629,0.8,QCOM US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,53,5016074,0.57,RKLB US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,11,4729193,0.54,LRCX US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,14,4719005,0.53,SIMO US EQUITY,stock
KLAC US EQUITY,KLA Corp,15,3775112,0.43,KLAC US EQUITY,stock
ASML US EQUITY,ASML Holding NV,1,2411994,0.27,ASML US EQUITY,stock
