종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp,30,80111205,7.37,SNDK US EQUITY,stock
MU US EQUITY,Micron Technology Inc,47,70166274,6.45,MU US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,80,63393595,5.83,AMD US EQUITY,stock
INTC US EQUITY,Intel Corp,279,51383877,4.73,INTC US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,157,46809290,4.31,NVDA US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,73,44050236,4.05,DELL US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,81,43558780,4.01,LRCX US EQUITY,stock
WDC US EQUITY,Western Digital Corp,51,42066416,3.87,WDC US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,29,36397634,3.35,STX US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,36183637,3.33,NQU6 INDEX,futures
CRDO US EQUITY,Credo Technology Group Holding Ltd,86,31836759,2.93,CRDO US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,34,31376291,2.89,AMAT US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,83,31155484,2.87,MRVL US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,174,30016865,2.76,HOOD US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,48,26436973,2.43,GOOGL US EQUITY,stock
AAPL US EQUITY,Apple Inc,53,25031713,2.3,AAPL US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,50,24123649,2.22,ARM US EQUITY,stock
,현금,23146644,23146644,2.13,현금,cash
AAOI US EQUITY,Applied Optoelectronics Inc,122,22580953,2.08,AAOI US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,67,22107540,2.03,NBIS US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,34,20317272,1.87,MSFT US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,36,19857478,1.83,AVGO US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,49,18196537,1.67,AMZN US EQUITY,stock
TSLA US EQUITY,Tesla Inc,29,17460799,1.61,TSLA US EQUITY,stock
ASML US EQUITY,ASML Holding NV,6,16245542,1.49,ASML US EQUITY,stock
GLW US EQUITY,Corning Inc,52,15659682,1.44,GLW US EQUITY,stock
KLAC US EQUITY,KLA Corp,43,15499873,1.43,KLAC US EQUITY,stock
TER US EQUITY,Teradyne Inc,26,14685279,1.35,TER US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,54,13674638,1.26,COIN US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,29,13337130,1.23,VRT US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,20,12438890,1.14,ALAB US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,49,12147521,1.12,SPCX US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,26,11964589,1.1,SIMO US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,6,11145878,1.03,LLY US EQUITY,stock
APP US EQUITY,AppLovin Corp,13,10485278,0.96,APP US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,10220353,0.94,GEV US EQUITY,stock
META US EQUITY,Meta Platforms Inc,11,9812130,0.9,META US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,23,9534488,0.88,BE US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,32,8630892,0.79,QCOM US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,13,8637135,0.79,TSM US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,54,8301632,0.76,RKLB US EQUITY,stock
MSTR US EQUITY,Strategy Inc,52,8018833,0.74,MSTR US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,7,7801836,0.72,LITE US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,48,6004529,0.55,CRWV US EQUITY,stock
ORCL US EQUITY,Oracle Corp,24,5151724,0.47,ORCL US EQUITY,stock
