종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,240,65548889,8.02,NVDA US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,67,41369119,5.06,AMD US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,69,38733991,4.74,MSFT US EQUITY,stock
MU US EQUITY,Micron Technology Inc,36,38240589,4.68,MU US EQUITY,stock
INTC US EQUITY,Intel Corp,324,38132957,4.67,INTC US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,22,32125286,3.93,SNDK US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,31441112,3.85,NQU6 INDEX,futures
AAPL US EQUITY,Apple Inc,63,30625201,3.75,AAPL US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,54,28744090,3.52,AVGO US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,58,28071243,3.44,GOOGL US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,49,26034706,3.19,DELL US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,78,25411363,3.11,AMZN US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,89,22700930,2.78,CRDO US EQUITY,stock
,현금,22525970,22525970,2.76,현금,cash
COIN US EQUITY,Coinbase Global Inc,96,22090883,2.7,COIN US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,20,21975833,2.69,STX US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,35,21957363,2.69,AMAT US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,166,21436578,2.62,HOOD US EQUITY,stock
META US EQUITY,Meta Platforms Inc,22,18518627,2.27,META US EQUITY,stock
WDC US EQUITY,Western Digital Corp,26,17267543,2.11,WDC US EQUITY,stock
SKHY US EQUITY,SK hynix Inc,83,15126579,1.85,SKHY US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,40,12930275,1.58,ARM US EQUITY,stock
TSLA US EQUITY,Tesla Inc,30,12864155,1.58,TSLA US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,53,12448171,1.52,MRVL US EQUITY,stock
TER US EQUITY,Teradyne Inc,27,12396238,1.52,TER US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,31,11244564,1.38,LRCX US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,51,10865622,1.33,NBIS US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,95,10449035,1.28,AAOI US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,6,10435696,1.28,LLY US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,30,9617930,1.18,VRT US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,51,8250747,1.01,SPCX US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,27,8137638,1.0,SIMO US EQUITY,stock
APP US EQUITY,AppLovin Corp,14,8038573,0.98,APP US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,7764374,0.95,GEV US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,14,7539709,0.92,TSM US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,33,7384556,0.9,QCOM US EQUITY,stock
MSTR US EQUITY,Strategy Inc,54,7244237,0.89,MSTR US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,20,7179525,0.88,ALAB US EQUITY,stock
GLW US EQUITY,Corning Inc,34,6062521,0.74,GLW US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,7,6060725,0.74,LITE US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,24,5648982,0.69,BE US EQUITY,stock
COST US EQUITY,Costco Wholesale Corp,4,5600282,0.69,COST US EQUITY,stock
WMT US EQUITY,Walmart Inc,34,5582114,0.68,WMT US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,55,4632740,0.57,RKLB US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,50,4371133,0.54,CRWV US EQUITY,stock
KLAC US EQUITY,KLA Corp,16,3914097,0.48,KLAC US EQUITY,stock
ASML US EQUITY,ASML Holding NV,1,2228961,0.27,ASML US EQUITY,stock
