종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp/DE,57,58227496,7.35,SNDK US EQUITY,stock
CIEN US EQUITY,Ciena Corp,71,46832586,5.91,CIEN US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,39,45676612,5.77,LITE US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,145,39044260,4.93,NVDA US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,128,34933465,4.41,COIN US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,67,29374911,3.71,GOOGL US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,125,28297692,3.57,BE US EQUITY,stock
ASML US EQUITY,ASML Holding NV,12,25207106,3.18,ASML US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,153,23947104,3.02,CRCL US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,100,23670449,2.99,ARM US EQUITY,stock
,현금,23243070,23243070,2.93,현금,cash
MU US EQUITY,Micron Technology Inc,39,22456575,2.84,MU US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,78,22185632,2.8,TSEM US EQUITY,stock
NQM6 Index,NASDAQ 100 E-MINI INDEX JUN 2026,0,22033319,2.78,NQM6 INDEX,futures
AXTI US EQUITY,AXT Inc,215,21821736,2.76,AXTI US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,61,21460358,2.71,LRCX US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,122,20394924,2.57,SIMO US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,47,19560136,2.47,VRT US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,13,18096010,2.28,GEV US EQUITY,stock
GLW US EQUITY,Corning Inc,78,17202857,2.17,GLW US EQUITY,stock
WDC US EQUITY,Western Digital Corp,37,16512470,2.08,WDC US EQUITY,stock
INTC US EQUITY,Intel Corp,231,16424160,2.07,INTC US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,28,14673659,1.85,TSM US EQUITY,stock
ASTS US EQUITY,AST SpaceMobile Inc,99,14331479,1.81,ASTS US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,23,14322618,1.81,STX US EQUITY,stock
FTAI US EQUITY,FTAI Aviation Ltd,33,12270129,1.55,FTAI US EQUITY,stock
COHR US EQUITY,Coherent Corp,27,11069035,1.4,COHR US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,95,10433865,1.32,RKLB US EQUITY,stock
TSLA US EQUITY,Tesla Inc,16,9306026,1.18,TSLA US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,52,8965625,1.13,AAOI US EQUITY,stock
META US EQUITY,Meta Platforms Inc,9,8068493,1.02,META US EQUITY,stock
MSTR US EQUITY,Strategy Inc,37,7757749,0.98,MSTR US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,23,7634778,0.96,AMD US EQUITY,stock
IPGP US EQUITY,IPG Photonics Corp,39,7464758,0.94,IPGP US EQUITY,stock
UUUU US EQUITY,Energy Fuels Inc/Canada,262,7403137,0.94,UUUU US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,22,7019033,0.89,AMZN US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,5,6904395,0.87,LLY US EQUITY,stock
BKR US EQUITY,Baker Hughes Co,72,6794520,0.86,BKR US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,14,6726253,0.85,AVGO US EQUITY,stock
FANG US EQUITY,Diamondback Energy Inc,22,6498847,0.82,FANG US EQUITY,stock
CRWD US EQUITY,Crowdstrike Holdings Inc,11,6396401,0.81,CRWD US EQUITY,stock
TMUS US EQUITY,T-Mobile US Inc,20,6370390,0.8,TMUS US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,11,6122549,0.77,AMAT US EQUITY,stock
AAPL US EQUITY,Apple Inc,15,5710475,0.72,AAPL US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,6,3354943,0.42,MSFT US EQUITY,stock
