종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,229,69854277,8.06,NVDA US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,64,42819037,4.94,DELL US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,20,42230732,4.87,SNDK US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,105,36392402,4.2,AMZN US EQUITY,stock
SKHY US EQUITY,SK hynix Inc,144,32293053,3.72,SKHY US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,31738295,3.66,NQU6 INDEX,futures
TSLA US EQUITY,Tesla Inc,64,31058156,3.58,TSLA US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,45,30389734,3.5,MSFT US EQUITY,stock
MU US EQUITY,Micron Technology Inc,23,29890789,3.45,MU US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,96,28353475,3.27,BE US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,193,28068280,3.24,HOOD US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,22,26034346,3.0,LITE US EQUITY,stock
INTC US EQUITY,Intel Corp,210,25705042,2.96,INTC US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,108,25684897,2.96,COIN US EQUITY,stock
SNOW US EQUITY,Snowflake Inc,59,24527970,2.83,SNOW US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,51,23370608,2.7,GOOGL US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,78,21638723,2.5,NBIS US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,74,20769451,2.4,MRVL US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,141,19766029,2.28,AAOI US EQUITY,stock
MSTR US EQUITY,Strategy Inc,109,18252286,2.11,MSTR US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,29,18017168,2.08,AMD US EQUITY,stock
PLTR US EQUITY,Palantir Technologies Inc,75,17276023,1.99,PLTR US EQUITY,stock
,현금,14988279,14988279,1.73,현금,cash
AVGO US EQUITY,Broadcom Inc,28,13977301,1.61,AVGO US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,40,13957292,1.61,VRT US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,71,13579964,1.57,SPCX US EQUITY,stock
AAPL US EQUITY,Apple Inc,30,13251543,1.53,AAPL US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,118,12980961,1.5,CRWV US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,45,12650257,1.46,TSEM US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,11,12089532,1.39,STX US EQUITY,stock
META US EQUITY,Meta Platforms Inc,15,12087915,1.39,META US EQUITY,stock
TER US EQUITY,Teradyne Inc,26,12073465,1.39,TER US EQUITY,stock
WDC US EQUITY,Western Digital Corp,19,11593605,1.34,WDC US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,45,10106259,1.17,CRDO US EQUITY,stock
GLW US EQUITY,Corning Inc,45,8816215,1.02,GLW US EQUITY,stock
NOW US EQUITY,ServiceNow Inc,44,8177113,0.94,NOW US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,25,7981129,0.92,ARM US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,5,7884483,0.91,LLY US EQUITY,stock
PANW US EQUITY,Palo Alto Networks Inc,17,7590548,0.88,PANW US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,7519158,0.87,GEV US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,32,7392852,0.85,QCOM US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,13,7342258,0.85,TSM US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,19,7079873,0.82,ALAB US EQUITY,stock
