종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,229,70983683,7.84,NVDA US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,20,46826880,5.17,SNDK US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,64,45138098,4.99,DELL US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,124,42192472,4.66,BE US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,105,36524360,4.04,AMZN US EQUITY,stock
SKHY US EQUITY,SK hynix Inc,144,34296652,3.79,SKHY US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,31826400,3.52,NQU6 INDEX,futures
HOOD US EQUITY,Robinhood Markets Inc,193,31712064,3.5,HOOD US EQUITY,stock
TSLA US EQUITY,Tesla Inc,64,30492803,3.37,TSLA US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,45,30257834,3.34,MSFT US EQUITY,stock
INTC US EQUITY,Intel Corp,210,27070780,2.99,INTC US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,108,26832771,2.97,COIN US EQUITY,stock
SNOW US EQUITY,Snowflake Inc,58,26315145,2.91,SNOW US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,22,26087968,2.88,LITE US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,78,23761169,2.63,NBIS US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,50,22771588,2.52,GOOGL US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,74,22259857,2.46,MRVL US EQUITY,stock
MU US EQUITY,Micron Technology Inc,16,21886776,2.42,MU US EQUITY,stock
MSTR US EQUITY,Strategy Inc,109,20944533,2.31,MSTR US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,141,20022164,2.21,AAOI US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,29,18635927,2.06,AMD US EQUITY,stock
PLTR US EQUITY,Palantir Technologies Inc,74,17358805,1.92,PLTR US EQUITY,stock
,현금,15921133,15921133,1.76,현금,cash
VRT US EQUITY,Vertiv Holdings Co,40,15099246,1.67,VRT US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,118,14188652,1.57,CRWV US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,71,14134787,1.56,SPCX US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,28,13484338,1.49,AVGO US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,45,13462828,1.49,TSEM US EQUITY,stock
AAPL US EQUITY,Apple Inc,30,12916548,1.43,AAPL US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,11,12570702,1.39,STX US EQUITY,stock
TER US EQUITY,Teradyne Inc,26,12490908,1.38,TER US EQUITY,stock
META US EQUITY,Meta Platforms Inc,15,12448885,1.38,META US EQUITY,stock
WDC US EQUITY,Western Digital Corp,19,11951269,1.32,WDC US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,45,10328354,1.14,CRDO US EQUITY,stock
GLW US EQUITY,Corning Inc,45,9343173,1.03,GLW US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,25,8480307,0.94,ARM US EQUITY,stock
NOW US EQUITY,ServiceNow Inc,44,8363496,0.92,NOW US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,19,7935810,0.88,ALAB US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,5,7732894,0.85,LLY US EQUITY,stock
PANW US EQUITY,Palo Alto Networks Inc,17,7623389,0.84,PANW US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,7604927,0.84,GEV US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,13,7502836,0.83,TSM US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,32,7265809,0.8,QCOM US EQUITY,stock
