종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,239,68118433,7.92,NVDA US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,67,44065816,5.12,AMD US EQUITY,stock
MU US EQUITY,Micron Technology Inc,35,41547126,4.83,MU US EQUITY,stock
INTC US EQUITY,Intel Corp,322,40201767,4.68,INTC US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,69,39265101,4.57,MSFT US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,22,34886013,4.06,SNDK US EQUITY,stock
AAPL US EQUITY,Apple Inc,63,30995605,3.6,AAPL US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,54,29757374,3.46,AVGO US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,49,27795302,3.23,DELL US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,57,27518360,3.2,GOOGL US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,78,26050842,3.03,AMZN US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,88,24479089,2.85,CRDO US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,24236854,2.82,NQU6 INDEX,futures
AMAT US EQUITY,Applied Materials Inc,35,24125313,2.81,AMAT US EQUITY,stock
,현금,23515845,23515845,2.73,현금,cash
COIN US EQUITY,Coinbase Global Inc,96,23318489,2.71,COIN US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,165,22142322,2.58,HOOD US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,19,20541259,2.39,STX US EQUITY,stock
META US EQUITY,Meta Platforms Inc,21,18028211,2.1,META US EQUITY,stock
WDC US EQUITY,Western Digital Corp,26,17434557,2.03,WDC US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,42,16381881,1.91,LRCX US EQUITY,stock
SKHY US EQUITY,SK hynix Inc,82,15441988,1.8,SKHY US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,39,13808548,1.61,ARM US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,53,13377504,1.56,MRVL US EQUITY,stock
TSLA US EQUITY,Tesla Inc,30,13343203,1.55,TSLA US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,51,12520016,1.46,NBIS US EQUITY,stock
TER US EQUITY,Teradyne Inc,27,12524877,1.46,TER US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,94,11986140,1.39,AAOI US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,30,11699173,1.36,VRT US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,6,10595572,1.23,LLY US EQUITY,stock
KLAC US EQUITY,KLA Corp,32,8832971,1.03,KLAC US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,27,8648864,1.01,SIMO US EQUITY,stock
APP US EQUITY,AppLovin Corp,14,8470544,0.99,APP US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,50,8420517,0.98,SPCX US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,8188727,0.95,GEV US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,14,7945768,0.92,TSM US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,33,7776070,0.9,QCOM US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,20,7529494,0.88,ALAB US EQUITY,stock
MSTR US EQUITY,Strategy Inc,53,7373077,0.86,MSTR US EQUITY,stock
ASML US EQUITY,ASML Holding NV,3,6870161,0.8,ASML US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,7,6602029,0.77,LITE US EQUITY,stock
GLW US EQUITY,Corning Inc,34,6198154,0.72,GLW US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,24,5792818,0.67,BE US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,55,5083631,0.59,RKLB US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,49,4770782,0.56,CRWV US EQUITY,stock
ORCL US EQUITY,Oracle Corp,24,4165107,0.48,ORCL US EQUITY,stock
CRWD US EQUITY,Crowdstrike Holdings Inc,15,3945150,0.46,CRWD US EQUITY,stock
PANW US EQUITY,Palo Alto Networks Inc,8,3691978,0.43,PANW US EQUITY,stock
