종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp,29,80910190,7.43,SNDK US EQUITY,stock
MU US EQUITY,Micron Technology Inc,44,65509325,6.02,MU US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,76,62384251,5.73,AMD US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,67,45289340,4.16,DELL US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,85,45071202,4.14,LRCX US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,147,44754722,4.11,NVDA US EQUITY,stock
INTC US EQUITY,Intel Corp,263,44438467,4.08,INTC US EQUITY,stock
WDC US EQUITY,Western Digital Corp,47,40790560,3.75,WDC US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,30,40091433,3.68,STX US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,35957929,3.3,NQU6 INDEX,futures
CRDO US EQUITY,Credo Technology Group Holding Ltd,90,35896221,3.3,CRDO US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,88,32141610,2.95,MRVL US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,35,30933494,2.84,AMAT US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,178,30763055,2.83,HOOD US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,53,26089992,2.4,ARM US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,128,23486220,2.16,AAOI US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,71,23046790,2.12,NBIS US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,38,22884609,2.1,AVGO US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,41,22092335,2.03,GOOGL US EQUITY,stock
AAPL US EQUITY,Apple Inc,44,20889999,1.92,AAPL US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,36,20774811,1.91,MSFT US EQUITY,stock
,현금,18920365,18920365,1.74,현금,cash
TSLA US EQUITY,Tesla Inc,31,18922219,1.74,TSLA US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,51,18916198,1.74,AMZN US EQUITY,stock
ASML US EQUITY,ASML Holding NV,6,16253405,1.49,ASML US EQUITY,stock
GLW US EQUITY,Corning Inc,55,15886163,1.46,GLW US EQUITY,stock
KLAC US EQUITY,KLA Corp,46,15851661,1.46,KLAC US EQUITY,stock
TER US EQUITY,Teradyne Inc,28,15249719,1.4,TER US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,31,15076338,1.39,VRT US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,57,13559263,1.25,COIN US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,21,13161948,1.21,ALAB US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,27,13144787,1.21,SIMO US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,51,11651104,1.07,SPCX US EQUITY,stock
META US EQUITY,Meta Platforms Inc,12,11377248,1.05,META US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,7,11300767,1.04,GEV US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,6,10962772,1.01,LLY US EQUITY,stock
APP US EQUITY,AppLovin Corp,14,10939230,1.01,APP US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,34,9755706,0.9,QCOM US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,24,9261355,0.85,BE US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,14,9184724,0.84,TSM US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,7,8258285,0.76,LITE US EQUITY,stock
MSTR US EQUITY,Strategy Inc,55,7753154,0.71,MSTR US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,56,6940671,0.64,RKLB US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,51,6868454,0.63,CRWV US EQUITY,stock
ORCL US EQUITY,Oracle Corp,25,5413297,0.5,ORCL US EQUITY,stock
