종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
NVDA US EQUITY,NVIDIA Corp,204,62837925,6.8,NVDA US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,80,57322428,6.2,MSFT US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,120,47249715,5.11,AMZN US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,227,42686369,4.62,AAOI US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,71,35941092,3.89,GOOGL US EQUITY,stock
INTC US EQUITY,Intel Corp,251,34657720,3.75,INTC US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,52,34572200,3.74,AMD US EQUITY,stock
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0,33683694,3.64,NQU6 INDEX,futures
MU US EQUITY,Micron Technology Inc,27,32915427,3.56,MU US EQUITY,stock
SNDK US EQUITY,Sandisk Corp,18,31549876,3.41,SNDK US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,86,29216261,3.16,CRDO US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,81,28964429,3.13,TSEM US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,97,25286090,2.74,NBIS US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,37,22128817,2.39,AVGO US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,19,21885127,2.37,LITE US EQUITY,stock
,현금,21501219,21501219,2.33,현금,cash
DELL US EQUITY,Dell Technologies Inc,33,21394305,2.31,DELL US EQUITY,stock
AAPL US EQUITY,Apple Inc,42,18331544,1.98,AAPL US EQUITY,stock
META US EQUITY,Meta Platforms Inc,21,17689291,1.91,META US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,127,16996520,1.84,HOOD US EQUITY,stock
SKHY US EQUITY,SK hynix Inc,88,16857025,1.82,SKHY US EQUITY,stock
GLW US EQUITY,Corning Inc,73,16306184,1.76,GLW US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,22,16263933,1.76,AMAT US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,52,15355605,1.66,MRVL US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,72,15157152,1.64,COIN US EQUITY,stock
TER US EQUITY,Teradyne Inc,27,13957517,1.51,TER US EQUITY,stock
TSLA US EQUITY,Tesla Inc,29,13586296,1.47,TSLA US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,11,12475339,1.35,STX US EQUITY,stock
WDC US EQUITY,Western Digital Corp,19,11792266,1.28,WDC US EQUITY,stock
CRWV US EQUITY,CoreWeave Inc,90,11238139,1.22,CRWV US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,29,11090603,1.2,VRT US EQUITY,stock
LLY US EQUITY,Eli Lilly & Co,6,10465823,1.13,LLY US EQUITY,stock
PLTR US EQUITY,Palantir Technologies Inc,41,10172434,1.1,PLTR US EQUITY,stock
WMT US EQUITY,Walmart Inc,63,10049463,1.09,WMT US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,26,9860469,1.07,ARM US EQUITY,stock
SPCX US EQUITY,Space Exploration Technologies Corp,49,9625656,1.04,SPCX US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,22,9544298,1.03,LRCX US EQUITY,stock
COST US EQUITY,Costco Wholesale Corp,7,9442991,1.02,COST US EQUITY,stock
ALAB US EQUITY,Astera Labs Inc,20,8983319,0.97,ALAB US EQUITY,stock
GEV US EQUITY,GE Vernova Inc,6,8417667,0.91,GEV US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,14,8295163,0.9,TSM US EQUITY,stock
QCOM US EQUITY,QUALCOMM Inc,33,7577344,0.82,QCOM US EQUITY,stock
MSTR US EQUITY,Strategy Inc,52,7166096,0.78,MSTR US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,23,6859313,0.74,BE US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,54,6119746,0.66,RKLB US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,14,4571289,0.49,SIMO US EQUITY,stock
KLAC US EQUITY,KLA Corp,15,4093508,0.44,KLAC US EQUITY,stock
ASML US EQUITY,ASML Holding NV,1,2454434,0.27,ASML US EQUITY,stock
