종목코드,종목명,수량,평가금액(원),비중(%),asset_key,asset_type
SNDK US EQUITY,Sandisk Corp/DE,39,89715187,8.62,SNDK US EQUITY,stock
INTC US EQUITY,Intel Corp,419,77067595,7.4,INTC US EQUITY,stock
NVDA US EQUITY,NVIDIA Corp,182,57668607,5.54,NVDA US EQUITY,stock
MU US EQUITY,Micron Technology Inc,48,52780946,5.07,MU US EQUITY,stock
GOOGL US EQUITY,Alphabet Inc,86,50751861,4.87,GOOGL US EQUITY,stock
ARM US EQUITY,ARM Holdings PLC,145,45532718,4.37,ARM US EQUITY,stock
BE US EQUITY,Bloom Energy Corp,85,32668948,3.14,BE US EQUITY,stock
COIN US EQUITY,Coinbase Global Inc,109,32284490,3.1,COIN US EQUITY,stock
CRCL US EQUITY,Circle Internet Group Inc,192,32134599,3.09,CRCL US EQUITY,stock
STX US EQUITY,Seagate Technology Holdings PLC,27,31113696,2.99,STX US EQUITY,stock
WDC US EQUITY,Western Digital Corp,43,30390336,2.92,WDC US EQUITY,stock
AMD US EQUITY,Advanced Micro Devices Inc,45,30159979,2.9,AMD US EQUITY,stock
GLW US EQUITY,Corning Inc,106,29176548,2.8,GLW US EQUITY,stock
TSLA US EQUITY,Tesla Inc,46,29012316,2.79,TSLA US EQUITY,stock
LITE US EQUITY,Lumentum Holdings Inc,21,27945857,2.68,LITE US EQUITY,stock
AMZN US EQUITY,Amazon.com Inc,60,24089641,2.31,AMZN US EQUITY,stock
RKLB US EQUITY,Rocket Lab Corp,154,23915280,2.3,RKLB US EQUITY,stock
AVGO US EQUITY,Broadcom Inc,36,22792752,2.19,AVGO US EQUITY,stock
HOOD US EQUITY,Robinhood Markets Inc,193,21889861,2.1,HOOD US EQUITY,stock
MRVL US EQUITY,Marvell Technology Inc,86,21542949,2.07,MRVL US EQUITY,stock
MSTR US EQUITY,Strategy Inc,78,21544186,2.07,MSTR US EQUITY,stock
AAOI US EQUITY,Applied Optoelectronics Inc,96,21052728,2.02,AAOI US EQUITY,stock
,현금,20157420,20157420,1.94,현금,cash
CIEN US EQUITY,Ciena Corp,24,19368891,1.86,CIEN US EQUITY,stock
VRT US EQUITY,Vertiv Holdings Co,38,19021729,1.83,VRT US EQUITY,stock
NQM6 Index,NASDAQ 100 E-MINI INDEX JUN 2026,0,17275669,1.66,NQM6 INDEX,futures
GEV US EQUITY,GE Vernova Inc,11,16846685,1.62,GEV US EQUITY,stock
CRDO US EQUITY,Credo Technology Group Holding Ltd,60,16653285,1.6,CRDO US EQUITY,stock
SIMO US EQUITY,Silicon Motion Technology Corp,39,14562050,1.4,SIMO US EQUITY,stock
TSEM US EQUITY,Tower Semiconductor Ltd,41,12738939,1.22,TSEM US EQUITY,stock
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,21,12729310,1.22,TSM US EQUITY,stock
DELL US EQUITY,Dell Technologies Inc,32,12272041,1.18,DELL US EQUITY,stock
NBIS US EQUITY,Nebius Group NV,44,11470290,1.1,NBIS US EQUITY,stock
AAPL US EQUITY,Apple Inc,22,9501456,0.91,AAPL US EQUITY,stock
ASML US EQUITY,ASML Holding NV,4,9376360,0.9,ASML US EQUITY,stock
MSFT US EQUITY,Microsoft Corp,15,9168340,0.88,MSFT US EQUITY,stock
LRCX US EQUITY,Lam Research Corp,20,8659184,0.83,LRCX US EQUITY,stock
COHR US EQUITY,Coherent Corp,13,6417278,0.62,COHR US EQUITY,stock
FTAI US EQUITY,FTAI Aviation Ltd,16,6367599,0.61,FTAI US EQUITY,stock
AMAT US EQUITY,Applied Materials Inc,8,5129134,0.49,AMAT US EQUITY,stock
META US EQUITY,Meta Platforms Inc,5,4488096,0.43,META US EQUITY,stock
VICR US EQUITY,Vicor Corp,10,3776264,0.36,VICR US EQUITY,stock
